,Baso,Eos,Erythroid,Lymphoid,Mast,Meg,Monocyte,Neutrophil,Undifferentiated,pDC,n
1110002J07Rik,0.5235658743270422,11.705761846908791,0.0,7.451636358781154,0.39287617611189507,11.624340823048843,0.3370326039107342,0.26229478470037676,0.20368424675544242,0.0,10
1110032F04Rik,0.48663528170411224,15.791433404149686,0.0,7.471298035614802,0.39323063766965727,14.21771526254713,0.354793869559205,0.29981860904291996,0.2054397360675372,0.0,10
1500002F19Rik,0.506102130148735,12.012198973480256,0.0,7.879171758546543,0.3883667745175591,15.138065376711701,0.3096671953184604,0.25886199826157735,0.17662589360674696,0.0,10
1500026H17Rik,0.425249259011505,12.19758819496019,0.0,7.414457442527302,0.5083456127239181,11.624340823048843,0.3074979033197241,0.23800126256965148,0.19635894867640444,0.0,10
1600010M07Rik,0.46708795316889457,15.770310786033097,0.0,7.4100367504437665,0.4072357719862552,10.913869651320978,0.2900101698479253,0.24289825383873087,0.17842798481041738,0.0,10
1700001C19Rik,0.8414975918756393,17.937578606175187,0.0,11.229403403960912,0.43717055301453916,15.138065376711701,0.3366284211010421,0.2941826009886763,0.22721762806035434,0.0,10
1700001O22Rik,0.6625675035015695,16.011933957391072,0.0,7.555399715119841,0.39716643735875856,10.913869651320978,0.332329548209615,0.24164777400485285,0.19322930390152696,0.0,10
1700011I03Rik,0.34589104355989536,18.132593434708575,0.0,7.165016560578929,0.4115010519986642,14.21771526254713,0.2915126142562374,0.26584842794557595,0.1892897922005881,0.0,10
1700016F12Rik,0.5398266901015456,15.443712878315093,0.0,7.622915226314564,0.399878216100185,16.55806318834872,0.30572207987876454,0.23608675275064858,0.21000475674793098,0.0,10
1700016K19Rik,0.6182642964640394,15.751063759251748,0.0,11.473806469713447,0.4709864756231488,10.913869651320978,0.2967143779483246,0.2899576268790632,0.1872452875405815,0.0,10
1700025K24Rik,0.5838099341293788,18.654235954381083,0.0,7.528572135570231,0.35883528351884064,15.138065376711701,0.3117396906030021,0.22769270076092962,0.19159636472111424,0.0,10
1700029I15Rik,0.5096773678351979,13.320390186307362,0.0,13.496869356506062,0.40792773778628527,14.21771526254713,0.3286377771922915,0.3154125107068742,0.22307455326929687,0.0,10
1700030C14Rik,0.41755632241011087,14.288618374747738,0.0,10.785005218408763,0.4208120570790203,11.624340823048843,0.34781344492143274,0.2020841721496655,0.20124653326368125,0.0,10
1700041G16Rik,0.4452488175731458,20.181043362780024,0.0,7.405927112935493,0.3492673245195808,14.21771526254713,0.28610522493032525,0.29348484863612356,0.22074668963524577,0.0,10
1700047M11Rik,0.5965005741323532,14.769808045129171,0.0,10.999358705378173,0.33248279551479365,11.624340823048843,0.2750090251226652,0.28840615845761697,0.19634944015008224,0.0,10
