,Baso,Eos,Erythroid,Lymphoid,Mast,Meg,Monocyte,Neutrophil,Undifferentiated
1110002J07Rik,-0.024629701860000595,6.576049107465576,2.3253496808481033,0.19999997114610366,0.043543125534708564,-4.05069943383095,-0.057984744993856474,0.1618519695437052,-0.05443283654687665
1110032F04Rik,-0.10769730011522778,7.134545280593967,4.4506993905501036,-4.39220314528697,0.129747502730235,-4.133706928877734,-0.05043739303296889,0.14786643175412614,-0.07508801309909875
1500002F19Rik,-0.03946888570192485,4.5261881407664495,2.2253496952750518,-6.476049114679052,0.07148314148024149,-1.849860988339551,-0.13596670407881514,0.19682246142964838,-0.0007019671248264636
1500026H17Rik,0.0749240922727869,8.95989503357681,2.2253496952750518,-6.734545331088287,0.10562258552654791,-1.7253497457693723,-0.014231168557492518,0.11445687908257984,-0.12616955824696838
1600010M07Rik,-0.09796513485804366,8.759895055217235,4.4506993905501036,-4.3506994049770515,0.34696336609562256,-2.1253497097019998,-0.036053736713194645,0.10349889478435606,-0.09438075862983629
1700001C19Rik,-0.04306375387101761,8.976887531316553,2.3253496808481033,-8.959895026363338,0.3144623513429862,-4.3506994049770515,-0.08613206424999313,0.13282487100765364,-0.05722082017198824
1700001O22Rik,-0.07296430371028037,2.0253497241289486,4.4506993905501036,-2.1668534500119194,0.34232395335052873,-1.9083572336026837,-0.08512553411830152,0.20692271573453022,-0.1384039654901327
1700011I03Rik,0.004718482383655698,4.450699397763577,2.3253496808481033,0.09999998557305219,0.0833342692530039,-2.0253497169154744,-0.09314404129004811,0.197023948983323,-0.07752285488761172
1700016F12Rik,0.007320433670079096,7.110034045237262,2.3253496808481033,-6.734545331088287,0.3072215018176622,-1.708357255243106,-0.1588652256870663,0.1785267546417398,-0.07650983821164387
1700016K19Rik,0.03632189542101407,4.409195650240184,2.3253496808481033,-2.1838459549651326,0.10830480563228724,0.3169924616723681,-0.057212020436729884,0.10794545968622984,-0.07974624411292888
1700025K24Rik,-0.019922876488597807,-0.2999999567191547,2.3253496808481033,0.09999998557305148,0.19325348086394384,-2.1253497097019998,-0.12142715124018924,0.13887664279834308,0.0054683247058089305
1700029I15Rik,-0.07210765951890702,4.509195635813235,2.3253496808481033,-2.2838459405381846,0.07319574744938132,0.5169924400319454,0.02628166418831792,0.1484864846987824,-0.1340156113556691
1700030C14Rik,-0.01715080068156466,6.634545345515238,2.2253496952750518,-2.066853464438868,0.16903119865874322,0.2584962236227097,-0.12541971780365802,0.1729818346213015,-0.049075217751184376
