,Baso,Ccr7_DC,Eos,Lymphoid,Mast,Meg,Monocyte,Neutrophil,Undifferentiated
1110002J07Rik,0.016151836549325695,-2.2253496952750518,0.0,-2.2253496952750518,-0.11262246312620827,-0.28168479976347044,-0.0029425426510073433,0.1268178925582246,0.0223316010517615
1110032F04Rik,0.047258571247991245,-2.2253496952750518,-2.2253496952750518,-4.4506993905501036,-0.05514566875434257,-0.2842843207250191,0.0429372042018993,0.0800545454667471,-0.03264055092564786
1500002F19Rik,0.037415443815704955,-2.2253496952750518,2.2253496952750518,-6.676049085825156,0.006553350174563599,-0.22676825487975205,-0.014034662029174078,0.11896890079666138,-0.0658839416240444
1500026H17Rik,0.09228259618947379,-2.2253496952750518,2.3253496808481033,-4.4506993905501036,0.08149820770409091,-0.22151534987159066,-0.00861350042386883,0.15250564030263375,-0.14174587852023018
1600010M07Rik,-0.03728648091413675,-2.2253496952750518,0.0,-6.676049085825156,0.107330678546699,-0.11238838358747061,0.0354015094306568,0.16887394309136877,-0.22296352042284223
1700001C19Rik,-0.032192809122337455,-2.2253496952750518,4.4506993905501036,-4.4506993905501036,-0.012261340028119173,-0.28746022956540934,-0.01667954996984079,0.13159510939243707,0.022796870543195905
1700001O22Rik,0.13444615046058925,-2.2253496952750518,0.0,-4.4506993905501036,-0.08715515921664449,-0.2662027858909217,-0.023739608566649077,0.10199016325825616,-0.028040404620940408
1700011I03Rik,-0.12675611291559793,-2.2253496952750518,0.0,-4.4506993905501036,-0.008805617107698782,-0.4479436409508121,0.0272783493180757,0.180731180159045,-0.008533904302566956
1700016F12Rik,-0.04235179215597075,-2.2253496952750518,0.0,-6.676049085825156,0.21989711248647562,-0.1823867861997737,0.018273551525014396,0.015655934722682605,-0.02342181494116658
1700016K19Rik,-0.011916930281644549,-2.2253496952750518,0.0,-6.676049085825156,-0.03190106066258765,-0.2842064172729718,0.0009697207660409171,0.16546983170466767,-0.03800192376083865
1700025K24Rik,-0.015765326519325294,-2.2253496952750518,0.0,-4.4506993905501036,0.06640493322085167,-0.24177520464489569,-0.019312308277962143,0.1410389798325244,-0.07635705346873238
1700029I15Rik,-0.1316545056530875,-2.2253496952750518,0.0,-4.4506993905501036,0.08582939218167049,-0.3370424286877556,-0.011214086144285675,0.1509354481910155,-0.011981603301480842
1700030C14Rik,0.04466713211328151,-2.2253496952750518,0.0,-2.2253496952750518,-0.053402348114841826,-0.18677849774731597,-0.051060625763661015,0.13139803813468465,-0.01193792019329962
1700041G16Rik,0.03806544996938697,-2.2253496952750518,0.0,-4.4506993905501036,-0.06596729792668629,-0.361282384290999,-0.005618200005085408,0.21458364737182328,-0.07482850215939654
1700047M11Rik,0.01770446111878196,-2.2253496952750518,2.2253496952750518,-4.4506993905501036,-0.04925629998013981,-0.1759232947879803,0.01901818897650053,0.10587654811240839,-0.09505004153388226
1700051A21Rik,0.06639021249552277,-2.2253496952750518,0.0,0.0,0.055504857954648754,-0.18064060662215722,-0.04940391255536795,0.20916717370745425,-0.1335630851395357
1700056E22Rik,0.07837813369635195,-2.2253496952750518,-2.2253496952750518,-2.2253496952750518,0.09723291421576101,-0.23438519014071585,-0.04212512364844553,0.13212127171802185,-0.03627706180006429
1700061G19Rik,0.10199768104369186,-2.2253496952750518,0.0,-4.4506993905501036,-0.1470536679817922,-0.12922211826902394,-0.05322649069658351,0.18467891422957958,-0.04570609472385567
1700061H18Rik,0.11874169662850217,-2.2253496952750518,0.0,-4.4506993905501036,0.036477494380230194,-0.32573399076866916,-0.0275327821889078,0.17215627546660484,-0.08524329681187026
1700099I09Rik,-0.04324329122796424,-2.2253496952750518,0.0,-4.4506993905501036,-0.015320171713041847,-0.17266648190970796,-0.018483545120108275,0.139025286484699,-0.021251421398816476
1700102P08Rik,0.06118759746664815,-2.2253496952750518,0.0,-4.4506993905501036,-0.04840514973074678,-0.5089037956073652,0.028693778424263416,0.11060629943822149,-0.005217169323742848
1700112J16Rik,-0.059657520933761185,-2.2253496952750518,2.2253496952750518,-2.2253496952750518,-0.1504535622195109,-0.30166207718787097,0.06765034691880739,0.08992258731553371,-0.040294321696261154
1810019N24Rik,0.04043926484734005,-2.2253496952750518,0.09999998557305148,-4.4506993905501036,0.10326648034886354,-0.12117727327896191,-0.07914233594833059,0.15292288587122815,-0.01899792933441487
1810041L15Rik,0.020460593435969336,-2.2253496952750518,-2.2253496952750518,-4.4506993905501036,-0.01815070891057609,-0.268790649140729,-0.02858589585966965,0.13396591033705826,0.01758310280783663
2010005H15Rik,0.11708037452918876,-2.2253496952750518,0.0,-6.676049085825156,0.002869591895706211,-0.6882284455152229,-0.12270483778990637,0.14663787514868287,0.17442768099883404
2010007H06Rik,-0.08032089713413851,-2.2253496952750518,2.2253496952750518,-4.4506993905501036,0.0060621564648298595,-0.17347799076029452,-0.013020577767640582,0.13424927066925912,-0.02993239849155942
2010300C02Rik,-0.048634177867031794,-2.2253496952750518,0.0,-2.2253496952750518,0.05339869660418741,-0.07099328224884202,-0.08559246778953641,0.12385770705516064,0.030442637577701548
2200002D01Rik,0.015851187633437947,-2.2253496952750518,-2.2253496952750518,-4.4506993905501036,0.038994060705910036,-0.22360016074916117,-0.015123838421018282,0.14255758317139106,-0.07703787920667729
2210008F06Rik,0.03597487342471738,-2.2253496952750518,2.2253496952750518,-4.4506993905501036,0.0028452572540466512,-0.2603017592251091,0.020138512200329438,0.15326918463926842,-0.11542996453700835
2310007B03Rik,-0.055496535761738616,-2.2253496952750518,2.2253496952750518,-4.4506993905501036,0.08270549090142817,-0.29329187924741035,0.03652106359962541,0.19091087067223797,-0.1484326182994265
2310016D03Rik,0.053163525066006176,-2.2253496952750518,2.2253496952750518,-2.2253496952750518,0.01130002165346523,-0.3361862273638362,-0.011088082128546842,0.14551920593518736,-0.06664800114922356
2310016D23Rik,-0.005693849873217449,-2.2253496952750518,0.0,-2.2253496952750518,0.057831944675028835,-0.21011108407881046,0.04878160695241278,0.10430557327519904,-0.09110659296918204
2310031A07Rik,-0.05051842337278105,-2.2253496952750518,2.2253496952750518,-4.4506993905501036,-0.024946225665513744,-0.30068232271925954,0.022830467215236412,0.13500113124665108,-0.03685729377857788
2310034C09Rik,0.01390951761419057,-2.2253496952750518,2.2253496952750518,-6.676049085825156,0.20750323217900807,-0.2609129377786707,-0.004428336329119433,0.033807377204540086,0.019053264700497625
2410006H16Rik,0.11003255759509145,-2.2253496952750518,0.0,-4.4506993905501036,-0.24410326541010657,-0.24603276241636748,-0.1386187835367568,0.20332346376423932,0.09241335493487277
2410017I17Rik,-0.004279781617330114,-2.2253496952750518,0.0,-4.4506993905501036,0.11614633998060708,-0.12429884459886872,0.02303825654047811,0.09825404905694837,-0.12680269611276118
2610028E06Rik,0.08261589992816147,-2.2253496952750518,0.0,-4.4506993905501036,0.031206013830953273,-0.19157903493436346,-0.06694959047230531,0.18730192269546533,-0.06803711367672025
2610035D17Rik,0.025777345092924314,-2.2253496952750518,2.2253496952750518,-4.4506993905501036,-0.15935406129973823,-0.20987414427376164,-0.05899169517117211,0.13914106516360647,0.03536346979339784
2610037D02Rik,-0.07662060936710538,-2.2253496952750518,0.0,-4.4506993905501036,-0.12060126272548026,-0.23687286016311204,0.0075052611844919435,0.14990255065256744,-0.013673480775224012
2610301B20Rik,0.014279280106169027,-2.2253496952750518,-2.2253496952750518,-4.4506993905501036,-0.27043006875134284,-0.28592617489647243,-0.015946445137948982,0.045037438088406434,0.13082914984808564
2610307P16Rik,-0.002304197932098867,-2.2253496952750518,0.0,-4.4506993905501036,0.07899877843767839,-0.32057547828542393,-0.06806845491756411,0.11091451059226873,0.05438370407542337
2610528A11Rik,0.16955024985024605,-2.2253496952750518,0.09999998557305148,-6.676049085825156,-0.011667786897646725,-0.46513805818161763,0.03452290980087549,0.10367191165208348,-0.07924465552752287
2700068H02Rik,0.01893435446798209,-2.2253496952750518,0.0,-4.4506993905501036,0.14562066657181688,-0.3754326892230512,-0.004876592947973384,0.09535759073500631,-0.011909367678419065
2810029C07Rik,0.015531983838217153,-2.2253496952750518,2.2253496952750518,-4.4506993905501036,0.011805319791803959,-0.2759260506656117,0.059769092800755166,0.1524187484270884,-0.1910423824895115
2810403D21Rik,-0.057342241341652486,-2.2253496952750518,0.0,-4.4506993905501036,0.06809893713329498,-0.29657501810140807,-0.0013306904347187448,0.07607526353695727,0.030914982485447644
2810408A11Rik,0.04320834375989344,-2.2253496952750518,4.550699376123155,-4.4506993905501036,-0.020269873688854457,-0.2174465295731436,-0.026853946568599442,0.16963381969017605,-0.07598665953046518
2900089D17Rik,0.048606839718658215,-2.2253496952750518,0.0,0.0,-0.05900017362214377,-0.3841642529398385,0.030147313944044324,0.1894749935587564,-0.1357759271976028
