epoch,epoch_train_loss,epoch_validation_loss,opt_param_group_lr,sinkhorn_0.0_training,sinkhorn_0.0_validation,sinkhorn_1.0_training,sinkhorn_1.0_validation,sinkhorn_2.0_training,sinkhorn_2.0_validation,sinkhorn_3.0_training,sinkhorn_3.0_validation,sinkhorn_4.0_training,sinkhorn_4.0_validation,sinkhorn_5.0_training,sinkhorn_5.0_validation,step,total_epochs,velo_f_0.0_training,velo_f_0.0_validation,velo_f_1.0_training,velo_f_1.0_validation,velo_f_2.0_training,velo_f_2.0_validation,velo_f_3.0_training,velo_f_3.0_validation,velo_f_4.0_training,velo_f_4.0_validation,velo_f_5.0_training,velo_f_5.0_validation,velo_g_0.0_training,velo_g_0.0_validation,velo_g_1.0_training,velo_g_1.0_validation,velo_g_2.0_training,velo_g_2.0_validation,velo_g_3.0_training,velo_g_3.0_validation,velo_g_4.0_training,velo_g_4.0_validation,velo_g_5.0_training,velo_g_5.0_validation,velo_ratio_0.0_training,velo_ratio_0.0_validation,velo_ratio_1.0_training,velo_ratio_1.0_validation,velo_ratio_2.0_training,velo_ratio_2.0_validation,velo_ratio_3.0_training,velo_ratio_3.0_validation,velo_ratio_4.0_training,velo_ratio_4.0_validation,velo_ratio_5.0_training,velo_ratio_5.0_validation
0,,,3.9999998989515007e-05,0.0,,225.40155029296875,,415.84442138671875,,709.4825439453125,,898.5791015625,,981.2945556640625,,0,0.0,0.008440119214355946,,0.00844760611653328,,0.008465789258480072,,0.008443117141723633,,0.00845883134752512,,0.008455924689769745,,4.398372173309326,,4.431633949279785,,4.457711696624756,,4.487804412841797,,4.5183186531066895,,4.5493621826171875,,624.0408325195312,,624.0473022460938,,624.05078125,,624.0596923828125,,624.0643310546875,,624.0709838867188,
0,,,3.9999998989515007e-05,0.0,,254.33131408691406,,425.077880859375,,746.2860107421875,,908.5151977539062,,1010.2564697265625,,1,0.0,0.010316378436982632,,0.010280929505825043,,0.010289143770933151,,0.010283908806741238,,0.010282340459525585,,0.010267309844493866,,4.264580726623535,,4.284757614135742,,4.305192947387695,,4.326484203338623,,4.350099563598633,,4.377081871032715,,623.7910766601562,,623.8008422851562,,623.8056030273438,,623.8120727539062,,623.8187255859375,,623.82763671875,
0,,,3.9999998989515007e-05,0.0,,241.5384979248047,,421.7853698730469,,744.80224609375,,935.577880859375,,1020.7638549804688,,2,0.0,0.012911695055663586,,0.012872559018433094,,0.012859368696808815,,0.012866436503827572,,0.012869343161582947,,0.012854516506195068,,4.156254768371582,,4.170585632324219,,4.185544967651367,,4.203938961029053,,4.221540927886963,,4.229437828063965,,623.4476318359375,,623.4576416015625,,623.46484375,,623.4706420898438,,623.4766845703125,,623.481201171875,
0,,,3.9999998989515007e-05,0.0,,248.03793334960938,,427.34051513671875,,710.2999267578125,,884.705322265625,,963.9658813476562,,3,0.0,0.015823952853679657,,0.015765858814120293,,0.015771273523569107,,0.015740325674414635,,0.015734968706965446,,0.015708470717072487,,4.050168514251709,,4.064150810241699,,4.070286750793457,,4.089420795440674,,4.099745750427246,,4.116849422454834,,623.048095703125,,623.0618286132812,,623.0640869140625,,623.0769653320312,,623.0824584960938,,623.0936279296875,
0,,,3.9999998989515007e-05,0.0,,242.4189910888672,,416.1105041503906,,728.81201171875,,882.7322998046875,,962.5230712890625,,4,0.0,0.018781958147883415,,0.01872088573873043,,0.018665432929992676,,0.01865236461162567,,0.018632370978593826,,0.018596485257148743,,3.982351779937744,,3.9966015815734863,,4.016932010650635,,4.023326396942139,,4.02751350402832,,4.043191909790039,,622.64404296875,,622.6600952148438,,622.6787719726562,,622.6841430664062,,622.6890258789062,,622.7023315429688,
0,,,3.9999998989515007e-05,0.0,,258.9960632324219,,458.0455322265625,,717.9661865234375,,912.9207763671875,,985.707275390625,,5,0.0,0.02167392149567604,,0.021567460149526596,,0.021506283432245255,,0.021439995616674423,,0.021394157782197,,0.021352974697947502,,3.948831081390381,,3.9561328887939453,,3.964672327041626,,3.977830410003662,,3.9881038665771484,,3.997501850128174,,622.2587280273438,,622.277099609375,,622.2907104492188,,622.3079223632812,,622.3206787109375,,622.3320922851562,
0,,,3.9999998989515007e-05,0.0,,225.92335510253906,,388.60675048828125,,688.576171875,,848.37841796875,,921.8952026367188,,6,0.0,0.024378806352615356,,0.024267653003335,,0.024213720113039017,,0.02415037713944912,,0.024091700091958046,,0.02404959872364998,,3.815812349319458,,3.816847562789917,,3.822140693664551,,3.8239293098449707,,3.8207974433898926,,3.8262789249420166,,621.8096313476562,,621.824951171875,,621.8365478515625,,621.8461303710938,,621.8512573242188,,621.8612060546875,
0,,,3.9999998989515007e-05,0.0,,227.1746368408203,,405.26971435546875,,691.1568603515625,,871.2037963867188,,931.5679321289062,,7,0.0,0.027177562937140465,,0.027077961713075638,,0.026997430250048637,,0.026916131377220154,,0.026856159791350365,,0.026792509481310844,,3.7916343212127686,,3.798433542251587,,3.795241117477417,,3.798015594482422,,3.802661180496216,,3.8046514987945557,,621.4212646484375,,621.4407348632812,,621.4483032226562,,621.4615478515625,,621.4738159179688,,621.4840087890625,
0,,,3.9999998989515007e-05,0.0,,231.06427001953125,,441.70361328125,,685.437744140625,,881.0712890625,,913.8763427734375,,8,0.0,0.029964599758386612,,0.02985936962068081,,0.02977910079061985,,0.029713137075304985,,0.029639601707458496,,0.029567236080765724,,3.747006893157959,,3.7478134632110596,,3.7431654930114746,,3.7303342819213867,,3.7255470752716064,,3.72556209564209,,621.0078735351562,,621.0227661132812,,621.028564453125,,621.023681640625,,621.0284423828125,,621.0382080078125,
0,,,3.9999998989515007e-05,0.0,,226.97789001464844,,408.9735107421875,,671.588134765625,,859.184326171875,,957.447021484375,,9,0.0,0.03282995894551277,,0.03266384080052376,,0.03258100152015686,,0.03250548243522644,,0.03243159502744675,,0.03235272318124771,,3.683218479156494,,3.6827597618103027,,3.680807590484619,,3.669633150100708,,3.665637969970703,,3.660909414291382,,620.55126953125,,620.5731201171875,,620.58203125,,620.578857421875,,620.5841064453125,,620.5890502929688,
0,,,3.9999998989515007e-05,0.0,,247.07693481445312,,427.6534118652344,,719.3072509765625,,869.737548828125,,948.1550903320312,,10,0.0,0.0353766605257988,,0.03523092344403267,,0.035148851573467255,,0.035059358924627304,,0.03497021272778511,,0.03489315137267113,,3.6944937705993652,,3.682781457901001,,3.674607038497925,,3.670454502105713,,3.6637139320373535,,3.658914089202881,,620.2213745117188,,620.2260131835938,,620.2265014648438,,620.2332763671875,,620.236572265625,,620.2408447265625,
0,,,3.9999998989515007e-05,0.0,,242.4877166748047,,429.025634765625,,719.88818359375,,869.1102294921875,,933.925537109375,,11,0.0,0.0378267876803875,,0.037708181887865067,,0.037626732140779495,,0.03753722086548805,,0.03743933141231537,,0.037350017577409744,,3.6503841876983643,,3.6370162963867188,,3.626291275024414,,3.6201062202453613,,3.611738681793213,,3.604039430618286,,619.82958984375,,619.8267822265625,,619.8228149414062,,619.8262329101562,,619.8277587890625,,619.8291015625,
0,,,3.9999998989515007e-05,0.0,,228.49838256835938,,391.3521728515625,,681.895263671875,,829.7611083984375,,907.4749755859375,,12,0.0,0.040338099002838135,,0.040242549031972885,,0.040163565427064896,,0.04005029797554016,,0.03996339067816734,,0.039860595017671585,,3.5733673572540283,,3.562732696533203,,3.5430240631103516,,3.538382053375244,,3.5306644439697266,,3.5244202613830566,,619.368408203125,,619.3651123046875,,619.3449096679688,,619.3533325195312,,619.3533325195312,,619.3578491210938,
0,,,3.9999998989515007e-05,0.0,,248.85531616210938,,412.4975280761719,,700.1124267578125,,872.004638671875,,919.6311645507812,,13,0.0,0.04270075634121895,,0.04260684549808502,,0.042524635791778564,,0.0424325056374073,,0.042315930128097534,,0.042218517512083054,,3.568236827850342,,3.553586959838867,,3.539900779724121,,3.524284839630127,,3.5125489234924316,,3.4920406341552734,,619.0308837890625,,619.0194702148438,,619.0079956054688,,618.9944458007812,,618.990966796875,,618.9696044921875,
