,0,1,2,3,4
Actn1,0.3723434506009284,0.413952881347216,0.5155044518629224,0.2435436265070192,0.4838575648030236
Aldh2,0.3963257260558883,0.5141200305102738,0.6622247469216921,0.3308694012951824,0.7659624183325904
Ap3s1,0.5769796328179214,0.4805195912926416,0.4450023089508333,0.2568200788148457,0.6030898336569485
Atp6v1e1,0.2640535657280448,0.3157837324919751,0.4961143065216247,0.1787410760297416,0.5205766863264817
BC100530,-1.0416616182529994,-1.4611973329334669,-0.4890592498187259,-3.753095587299633,-1.5268831825359328
Bnip3l,0.1941445759924653,0.2520614462385856,0.4600589685592368,-0.3444016865353628,0.3728959053068654
C3,0.4439020097314878,0.4790552981715052,0.6419362821031429,0.2517647067918523,0.5090234829242719
Casp6,-0.4360140175737063,-0.4312772257253197,-0.2311604917964402,-0.6749815688010373,-0.4996271562893872
Ccr2,-0.8339356630851663,-0.5254560621741173,-0.3529537684155352,-0.818667493422824,-0.7109604709160136
Cd177,0.416730045420088,0.5476978090469161,0.7676225512019059,0.2105704955166157,0.4392164127445613
Cd24a,0.4230966468179578,0.3090584969804761,0.6094574855030453,0.1820866990424572,0.4478132000286052
Ceacam1,0.5372385363963382,0.6491331959653044,0.8013845146450264,0.3560710462771996,0.588377083192149
Cebpd,0.4101664261119292,0.349121319602912,0.5034588303155942,0.2377171291793805,0.4895253200888153
Cebpe,0.678528078763269,0.5941217202699645,0.8072062041123379,0.5308115365119834,0.7353509908726261
Chil3,0.3575510927115318,0.6580020181885926,0.7641807951413749,0.263471937154607,0.4335021644017707
Cma1,-0.6357452158407657,-0.321607704821242,-0.3534305145160785,-0.4094928657494977,-0.27803626509268
Ctsc,-1.3637549698178169,-0.6777726648611195,-0.4862802789327859,-1.1964759757771923,-1.200793323207606
Ctsg,0.6912959544140097,0.7530332180425248,0.4098618072604935,0.5814144415049072,1.0032774435306984
Dach1,0.4793265101419474,0.3686186360011071,0.5588330171585909,0.2545123105343375,0.4592512629415536
Dstn,0.8472307820713963,0.8858018682833183,0.8687000961234915,0.6183625010241844,0.9311745616291164
Elane,1.2683293342972668,1.2880196954176744,1.021976010611788,1.0969458281329725,1.484350991331239
F630028O10Rik,0.5563581122621731,0.6488979522342424,0.7582576265100542,0.4368365261961304,0.6456168282258614
