epoch,epoch_train_loss,epoch_validation_loss,opt_param_group_lr,sinkhorn_0.0_training,sinkhorn_0.0_validation,sinkhorn_1.0_training,sinkhorn_1.0_validation,sinkhorn_10.0_training,sinkhorn_10.0_validation,sinkhorn_2.0_training,sinkhorn_2.0_validation,sinkhorn_3.0_training,sinkhorn_3.0_validation,sinkhorn_4.0_training,sinkhorn_4.0_validation,sinkhorn_5.0_training,sinkhorn_5.0_validation,sinkhorn_6.0_training,sinkhorn_6.0_validation,sinkhorn_7.0_training,sinkhorn_7.0_validation,sinkhorn_8.0_training,sinkhorn_8.0_validation,sinkhorn_9.0_training,sinkhorn_9.0_validation,step,total_epochs,velo_f_0.0_training,velo_f_0.0_validation,velo_f_1.0_training,velo_f_1.0_validation,velo_f_10.0_training,velo_f_10.0_validation,velo_f_2.0_training,velo_f_2.0_validation,velo_f_3.0_training,velo_f_3.0_validation,velo_f_4.0_training,velo_f_4.0_validation,velo_f_5.0_training,velo_f_5.0_validation,velo_f_6.0_training,velo_f_6.0_validation,velo_f_7.0_training,velo_f_7.0_validation,velo_f_8.0_training,velo_f_8.0_validation,velo_f_9.0_training,velo_f_9.0_validation,velo_g_0.0_training,velo_g_0.0_validation,velo_g_1.0_training,velo_g_1.0_validation,velo_g_10.0_training,velo_g_10.0_validation,velo_g_2.0_training,velo_g_2.0_validation,velo_g_3.0_training,velo_g_3.0_validation,velo_g_4.0_training,velo_g_4.0_validation,velo_g_5.0_training,velo_g_5.0_validation,velo_g_6.0_training,velo_g_6.0_validation,velo_g_7.0_training,velo_g_7.0_validation,velo_g_8.0_training,velo_g_8.0_validation,velo_g_9.0_training,velo_g_9.0_validation,velo_ratio_0.0_training,velo_ratio_0.0_validation,velo_ratio_1.0_training,velo_ratio_1.0_validation,velo_ratio_10.0_training,velo_ratio_10.0_validation,velo_ratio_2.0_training,velo_ratio_2.0_validation,velo_ratio_3.0_training,velo_ratio_3.0_validation,velo_ratio_4.0_training,velo_ratio_4.0_validation,velo_ratio_5.0_training,velo_ratio_5.0_validation,velo_ratio_6.0_training,velo_ratio_6.0_validation,velo_ratio_7.0_training,velo_ratio_7.0_validation,velo_ratio_8.0_training,velo_ratio_8.0_validation,velo_ratio_9.0_training,velo_ratio_9.0_validation
0,,,9.999999747378752e-05,0.0,,28.607059478759766,,511.017822265625,,52.36863708496094,,97.56548309326172,,135.4090576171875,,171.50570678710938,,248.39401245117188,,321.91497802734375,,403.7196044921875,,465.2746276855469,,0,0.0,0.009611904621124268,,0.009641566313803196,,0.009687363170087337,,0.009661819785833359,,0.009626686573028564,,0.009630779735744,,0.009661683812737465,,0.009676652029156685,,0.009714831598103046,,0.00971095822751522,,0.009692749008536339,,1.1180384159088135,,1.1183561086654663,,1.1355175971984863,,1.1193506717681885,,1.1186010837554932,,1.1201283931732178,,1.1223634481430054,,1.125856876373291,,1.129530429840088,,1.132857084274292,,1.1351462602615356,,620.7088623046875,,620.6968383789062,,620.7415771484375,,620.6915893554688,,620.7044067382812,,620.70849609375,,620.7032470703125,,620.7098999023438,,620.70703125,,620.7213134765625,,620.7379150390625,
0,,,9.999999747378752e-05,0.0,,29.617469787597656,,487.239990234375,,50.098106384277344,,92.16297912597656,,132.97772216796875,,160.97503662109375,,234.3929443359375,,308.35040283203125,,386.7763671875,,447.22430419921875,,1,0.0,0.020192574709653854,,0.019879162311553955,,0.01899750344455242,,0.01983945444226265,,0.019801665097475052,,0.019800929352641106,,0.019709739834070206,,0.019584931433200836,,0.019486721605062485,,0.01931803859770298,,0.01915237121284008,,1.0207993984222412,,1.018742561340332,,1.0129849910736084,,1.0161190032958984,,1.0155844688415527,,1.0138986110687256,,1.013390302658081,,1.0144996643066406,,1.0151515007019043,,1.014589548110962,,1.0131216049194336,,615.1486206054688,,615.2813720703125,,615.658203125,,615.2756958007812,,615.2890625,,615.2733154296875,,615.3131713867188,,615.384765625,,615.43896484375,,615.51611328125,,615.5836181640625,
0,,,9.999999747378752e-05,0.0,,29.31559181213379,,462.46630859375,,48.089599609375,,92.08069610595703,,132.198486328125,,154.58456420898438,,225.84536743164062,,296.7198486328125,,370.5587158203125,,426.2431640625,,2,0.0,0.031590577214956284,,0.031358566135168076,,0.028774157166481018,,0.031114796176552773,,0.030989667400717735,,0.030739475041627884,,0.03051825799047947,,0.030353037640452385,,0.02991819754242897,,0.029495123773813248,,0.029089128598570824,,0.966973602771759,,0.9611555337905884,,0.9520475268363953,,0.9573856592178345,,0.9532167315483093,,0.9513521790504456,,0.94887775182724,,0.950860321521759,,0.9499302506446838,,0.9515612125396729,,0.9514082074165344,,608.77197265625,,608.7935180664062,,609.9796752929688,,608.855712890625,,608.8504028320312,,608.9486694335938,,609.022216796875,,609.1410522460938,,609.3516235351562,,609.5977783203125,,609.8060302734375,
0,,2132.486083984375,9.999999747378752e-05,,0.0,,30.689346313476562,,446.7486877441406,,48.056915283203125,,90.31495666503906,,125.79109191894531,,148.8504638671875,,216.6387176513672,,295.4363708496094,,332.837890625,,397.12164306640625,2,0.0,,0.040924809873104095,,0.04069816693663597,,0.03639046475291252,,0.04034832864999771,,0.03985537216067314,,0.039392005652189255,,0.039502453058958054,,0.03913445770740509,,0.0386558473110199,,0.03796825930476189,,0.037196848541498184,,0.9234141707420349,,0.9181451797485352,,0.8889555335044861,,0.9088905453681946,,0.9044485688209534,,0.8959012031555176,,0.8951513767242432,,0.8930365443229675,,0.8943890333175659,,0.8939801454544067,,0.8913606405258179,,603.0369873046875,,603.033203125,,604.699462890625,,603.0005493164062,,603.1611938476562,,603.208740234375,,603.1300659179688,,603.2811279296875,,603.57666015625,,603.9449462890625,,604.3089599609375
0,2334.564697265625,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,9.999999747378752e-05,0.0,,28.486120223999023,,442.13214111328125,,45.718406677246094,,89.11209106445312,,123.61698150634766,,149.83724975585938,,216.15789794921875,,275.72589111328125,,347.9908142089844,,410.2159423828125,,3,1.0,0.042564358562231064,,0.04233970865607262,,0.03817969188094139,,0.04195317253470421,,0.04164543375372887,,0.041076816618442535,,0.040759146213531494,,0.04031946882605553,,0.03996571898460388,,0.039369527250528336,,0.03865582495927811,,0.9376763105392456,,0.9270293712615967,,0.8981096744537354,,0.9193885326385498,,0.9124287366867065,,0.9084259271621704,,0.9047012329101562,,0.9011015892028809,,0.8988689184188843,,0.8983624577522278,,0.8980644941329956,,602.50927734375,,602.3724365234375,,603.9251098632812,,602.3923950195312,,602.3871459960938,,602.595703125,,602.6766967773438,,602.8278198242188,,602.9666137695312,,603.2802124023438,,603.66357421875,
1,,,9.999999747378752e-05,0.0,,27.726036071777344,,424.75018310546875,,46.123504638671875,,88.53565979003906,,125.20671081542969,,144.09597778320312,,205.88986206054688,,270.93597412109375,,336.67254638671875,,391.831787109375,,4,1.0,0.05320098623633385,,0.05302028730511665,,0.04641074687242508,,0.052756547927856445,,0.052264757454395294,,0.05153874307870865,,0.05076099559664726,,0.05015622451901436,,0.04937735199928284,,0.04832356795668602,,0.04750051721930504,,0.8871039748191833,,0.8774268627166748,,0.8442679643630981,,0.8699301481246948,,0.8637579679489136,,0.8573309183120728,,0.853062629699707,,0.8499166965484619,,0.8470349907875061,,0.8437533378601074,,0.8435174822807312,,595.3738403320312,,595.1516723632812,,597.8163452148438,,595.0454711914062,,595.1118774414062,,595.3037109375,,595.6018676757812,,595.8416748046875,,596.1926879882812,,596.69189453125,,597.1609497070312,
1,,,9.999999747378752e-05,0.0,,26.23788070678711,,415.7193298339844,,45.749969482421875,,88.18943786621094,,117.71733093261719,,145.61126708984375,,198.74020385742188,,263.6309509277344,,327.69085693359375,,382.0335388183594,,5,1.0,0.06343600153923035,,0.06306823343038559,,0.05342620238661766,,0.06282567232847214,,0.06233537942171097,,0.061458319425582886,,0.06054926663637161,,0.05970502644777298,,0.0584653802216053,,0.057393964380025864,,0.05564872547984123,,0.8602072596549988,,0.8476539850234985,,0.8113731145858765,,0.8364173769950867,,0.8277477025985718,,0.8197935223579407,,0.8148928880691528,,0.8118287324905396,,0.8110824823379517,,0.8099343180656433,,0.8107419013977051,,588.6713256835938,,588.3519897460938,,592.51025390625,,588.0078125,,587.91357421875,,588.0780029296875,,588.400390625,,588.7689819335938,,589.4779663085938,,590.0708618164062,,591.1514892578125,
1,,2181.011474609375,9.999999747378752e-05,,0.0,,44.85455322265625,,416.9433898925781,,79.01449584960938,,116.00861358642578,,152.93115234375,,179.1546630859375,,214.0043487548828,,282.7923583984375,,315.11175537109375,,380.1961364746094,5,1.0,,0.07115904986858368,,0.07168584316968918,,0.05984317883849144,,0.07143040746450424,,0.0707986056804657,,0.07098161429166794,,0.07045556604862213,,0.07081680744886398,,0.07058105617761612,,0.06827353686094284,,0.06361149251461029,,0.8813338279724121,,0.8569900393486023,,0.7646386027336121,,0.8325140476226807,,0.8130194544792175,,0.7968184947967529,,0.7819201350212097,,0.7739351391792297,,0.7671149373054504,,0.7655391097068787,,0.7623922228813171,,585.2817993164062,,583.87548828125,,586.4808349609375,,582.835693359375,,582.2178344726562,,581.2529296875,,580.7589721679688,,580.086181640625,,579.8424072265625,,581.20361328125,,583.977783203125
1,2067.36083984375,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
