velo_g_4.0_training,step,velo_g_7.0_training,velo_f_7.0_training,sinkhorn_7.0_training,total_epochs,velo_f_4.0_training,sinkhorn_4.0_training,velo_ratio_7.0_training,epoch,velo_ratio_4.0_training,opt_param_group_lr,velo_f_4.0_validation,velo_f_7.0_validation,sinkhorn_7.0_validation,epoch_validation_loss,velo_g_4.0_validation,velo_ratio_7.0_validation,velo_g_7.0_validation,velo_ratio_4.0_validation,sinkhorn_4.0_validation,epoch_train_loss
1.5471659898757935,0,1.5751755237579346,0.00883009098470211,127.92086791992188,0.0,0.008822718635201454,0.0,622.2003173828125,0,622.1519775390625,9.999999747378752e-05,,,,,,,,,,
1.8389911651611328,1,1.857680082321167,0.018878167495131493,196.5019989013672,0.0,0.019127612933516502,0.0,619.9292602539062,0,619.8101806640625,9.999999747378752e-05,,,,,,,,,,
,1,,,,0.0,,,,0,,0.00010000000474974513,0.022249063476920128,0.022089865058660507,155.60157775878906,128.55340576171875,1.367249846458435,617.257080078125,1.4230315685272217,616.88720703125,0.0,
,1,,,,,,,,0,,,,,,,,,,,,162.21142578125
1.431135892868042,2,1.4496574401855469,0.022422384470701218,126.46304321289062,1.0,0.022425131872296333,0.0,617.2902221679688,1,617.1898803710938,9.999999747378752e-05,,,,,,,,,,
,2,,,,1.0,,,,1,,9.999999747378752e-05,0.030999405309557915,0.030775660648941994,132.75677490234375,133.4607696533203,1.3440228700637817,613.7319946289062,1.3600542545318604,613.521240234375,0.0,
,2,,,,,,,,1,,,,,,,,,,,,126.46304321289062
1.4186426401138306,3,1.4236525297164917,0.030982712283730507,126.24043273925781,2.0,0.0311001967638731,0.0,614.1659545898438,2,614.0867919921875,9.999999747378752e-05,,,,,,,,,,
,3,,,,2.0,,,,2,,0.00010000000474974513,0.03937859460711479,0.03924563154578209,137.34115600585938,148.530029296875,1.4106465578079224,611.18896484375,1.4128972291946411,611.1192626953125,0.0,
,3,,,,,,,,2,,,,,,,,,,,,126.24043273925781
1.3594907522201538,4,1.3631309270858765,0.03904149308800697,122.16268157958984,3.0,0.03923977166414261,0.0,610.7615356445312,3,610.6514892578125,9.999999747378752e-05,,,,,,,,,,
,4,,,,3.0,,,,3,,9.999999747378752e-05,0.047068946063518524,0.04671640694141388,147.09823608398438,147.09823608398438,1.3437952995300293,607.9235229492188,1.3584476709365845,607.6092529296875,0.0,
,4,,,,,,,,3,,,,,,,,,,,,122.16268157958984
1.3393921852111816,5,1.3397241830825806,0.04663626104593277,123.89781951904297,4.0,0.04708255082368851,0.0,607.716064453125,4,607.5474853515625,9.999999747378752e-05,,,,,,,,,,
,5,,,,4.0,,,,4,,9.999999747378752e-05,0.05475156009197235,0.05390913039445877,147.8397216796875,133.54428100585938,1.2807222604751587,604.0182495117188,1.273795247077942,603.8074951171875,0.0,
,5,,,,,,,,4,,,,,,,,,,,,123.89781951904297
1.3174875974655151,6,1.319775104522705,0.054077375680208206,122.15476989746094,5.0,0.05495912954211235,0.0,604.6806030273438,5,604.31640625,9.999999747378752e-05,,,,,,,,,,
,6,,,,5.0,,,,5,,9.999999747378752e-05,0.062132906168699265,0.06085928902029991,155.80433654785156,139.95428466796875,1.3867906332015991,603.4111938476562,1.397364616394043,602.7909545898438,0.0,
,6,,,,,,,,5,,,,,,,,,,,,122.15476989746094
1.3146004676818848,7,1.3096877336502075,0.06137329339981079,128.352783203125,6.0,0.06267760694026947,0.0,601.7891235351562,6,601.3883056640625,9.999999747378752e-05,,,,,,,,,,
,7,,,,6.0,,,,6,,9.999999747378752e-05,0.07004556804895401,0.06883449107408524,129.8772735595703,127.25990295410156,1.2534631490707397,597.443603515625,1.2372757196426392,597.3275756835938,0.0,
,7,,,,,,,,6,,,,,,,,,,,,128.352783203125
1.2668473720550537,8,1.2550299167633057,0.06805425882339478,121.4432373046875,7.0,0.07024458795785904,0.0,598.1814575195312,7,597.5833129882812,9.999999747378752e-05,,,,,,,,,,
,8,,,,7.0,,,,7,,9.999999747378752e-05,0.0776393711566925,0.07527469843626022,141.4351043701172,102.4548110961914,1.2961511611938477,595.9935302734375,1.2829771041870117,595.398681640625,0.0,
,8,,,,,,,,7,,,,,,,,,,,,121.4432373046875
1.2547916173934937,9,1.24355947971344,0.07487478107213974,123.64567565917969,8.0,0.07780804485082626,0.0,595.2575073242188,8,594.3800659179688,9.999999747378752e-05,,,,,,,,,,
,9,,,,8.0,,,,8,,9.999999747378752e-05,0.08387371897697449,0.08070597797632217,143.65382385253906,165.18153381347656,1.2014480829238892,591.1547241210938,1.1760406494140625,590.5830078125,0.0,
,9,,,,,,,,8,,,,,,,,,,,,123.64567565917969
1.2292171716690063,10,1.2129994630813599,0.08181138336658478,123.57212829589844,9.0,0.08546905219554901,0.0,591.7321166992188,9,590.7178344726562,9.999999747378752e-05,,,,,,,,,,
,10,,,,9.0,,,,9,,0.00010000000474974513,0.09238605201244354,0.08883372694253922,166.4904022216797,139.63333129882812,1.2941514253616333,590.9558715820312,1.2866722345352173,589.8153076171875,0.0,
,10,,,,,,,,9,,,,,,,,,,,,123.57212829589844
1.2095061540603638,11,1.1886696815490723,0.08847137540578842,124.83721923828125,10.0,0.09292478859424591,0.0,588.3395385742188,10,587.1759033203125,9.999999747378752e-05,,,,,,,,,,
,11,,,,10.0,,,,10,,9.999999747378752e-05,0.1005551666021347,0.095271535217762,151.2354278564453,138.42184448242188,1.1543447971343994,583.4146728515625,1.1261138916015625,582.2006225585938,0.0,
,11,,,,,,,,10,,,,,,,,,,,,124.83721923828125
1.1998560428619385,12,1.1772183179855347,0.0955759808421135,126.23817443847656,11.0,0.1008509024977684,0.0,585.065185546875,11,583.68017578125,9.999999747378752e-05,,,,,,,,,,
,12,,,,11.0,,,,11,,9.999999747378752e-05,0.1089063212275505,0.10412546247243881,153.9994354248047,182.46771240234375,1.2356321811676025,582.4304809570312,1.2024784088134766,581.6801147460938,0.0,
,12,,,,,,,,11,,,,,,,,,,,,126.23817443847656
1.1782305240631104,13,1.1520566940307617,0.10268228501081467,125.98773956298828,12.0,0.10847728699445724,0.0,581.2296752929688,12,579.8136596679688,9.999999747378752e-05,,,,,,,,,,
,13,,,,12.0,,,,12,,9.999999747378752e-05,0.11596982181072235,0.10974929481744766,144.80599975585938,129.11221313476562,1.1689921617507935,577.2119750976562,1.1259844303131104,576.381103515625,0.0,
,13,,,,,,,,12,,,,,,,,,,,,125.98773956298828
1.1675572395324707,14,1.136908769607544,0.10987341403961182,126.6932373046875,13.0,0.115716852247715,0.0,577.6128540039062,13,576.42724609375,9.999999747378752e-05,,,,,,,,,,
,14,,,,13.0,,,,13,,9.999999747378752e-05,0.12279078364372253,0.11716902256011963,133.22084045410156,123.2059326171875,1.066752314567566,570.121337890625,1.0436807870864868,568.7579956054688,0.0,
,14,,,,,,,,13,,,,,,,,,,,,126.6932373046875
