gene,pooled_mean_lfc_re,combined_pval,x,y,significant,insignificant,pos,neg,sig.pos,sig.neg,insig.pos,insig.neg,group
FUCA2,-0.008795051105017552,1.9237374772881074e-10,-0.008795051105017552,9.715854194223427,True,False,False,True,False,True,False,False,sig.neg
HECW1,0.041456048410724304,0.004585236852301085,0.041456048410724304,2.3386382257539142,True,False,True,False,True,False,False,False,sig.pos
MAD1L1,-0.03530977453057939,0.0692093640450049,-0.03530977453057939,1.159835141411087,False,True,False,True,False,False,False,True,insig.neg
CFLAR,-0.15507180236296722,2.5686968627685e-11,-0.15507180236296722,10.590287144700095,True,False,False,True,False,True,False,False,sig.neg
MTMR7,0.025254059980438837,0.10176433025968695,0.025254059980438837,0.9924044212723613,False,True,True,False,False,False,True,False,insig.pos
SARM1,-0.05531465778491098,8.349178954461144e-05,-0.05531465778491098,4.078356230274348,True,False,False,True,False,True,False,False,sig.neg
CAMKK1,0.18885795881686976,1.5039932115138165e-16,0.18885795881686976,15.822754123989553,True,False,True,False,True,False,False,False,sig.pos
ARHGAP33,0.04876925307599662,0.001425128484383659,0.04876925307599662,2.8461459794846684,True,False,True,False,True,False,False,False,sig.pos
SLC4A1,0.1277177003433814,3.86042505593661e-10,0.1277177003433814,9.413364874270048,True,False,True,False,True,False,False,False,sig.pos
MPO,0.8012194625956204,1.0235752910867662e-69,0.8012194625956204,68.98988020644467,True,False,True,False,True,False,False,False,sig.pos
MAP3K14,0.1686099853516269,7.506560438527957e-16,0.1686099853516269,15.12455901436019,True,False,True,False,True,False,False,False,sig.pos
ZNF263,0.12021448866472652,1.2049353320425673e-09,0.12021448866472652,8.919036260716252,True,False,True,False,True,False,False,False,sig.pos
SPATA20,-0.019617818020309125,0.18934292182302384,-0.019617818020309125,0.7227509254027252,False,True,False,True,False,False,False,True,insig.neg
TNFRSF12A,0.016840730998470006,0.023525506681756788,0.016840730998470006,1.6284610141612208,True,False,True,False,True,False,False,False,sig.pos
MAP3K9,0.01666064829926614,0.308355254662381,0.01666064829926614,0.510948646389835,False,True,True,False,False,False,True,False,insig.pos
KDM7A,0.13439443436657994,1.0327107233948546e-10,0.13439443436657994,9.986021313356702,True,False,True,False,True,False,False,False,sig.pos
PRSS21,0.07202176816666717,1.0335492910364992e-05,0.07202176816666717,4.985668806588997,True,False,True,False,True,False,False,False,sig.pos
RPUSD1,0.2789027689990569,1.200914344845622e-27,0.2789027689990569,26.92048796752423,True,False,True,False,True,False,False,False,sig.pos
TSR3,0.21958925490957917,1.0964103986798446e-20,0.21958925490957917,19.96002685413595,True,False,True,False,True,False,False,False,sig.pos
PIGQ,-0.10675461736849867,1.8980114741878507e-06,-0.10675461736849867,5.7217011664285335,True,False,False,True,False,True,False,False,sig.neg
SPAG9,-0.423021018268463,3.443912392899282e-32,-0.423021018268463,31.462947904769006,True,False,False,True,False,True,False,False,sig.neg
TENM1,-0.06873754846978718,0.002349496611889939,-0.06873754846978718,2.6290251769183497,True,False,False,True,False,True,False,False,sig.neg
CD9,-0.9918906083767892,1.0703605314963628e-58,-0.9918906083767892,57.97046991346766,True,False,False,True,False,True,False,False,sig.neg
NISCH,0.18055247020238568,3.564038901438465e-15,0.18055247020238568,14.448057564290645,True,False,True,False,True,False,False,False,sig.pos
STAB1,0.4255295586808854,4.38313644298233e-40,0.4255295586808854,39.35821500995019,True,False,True,False,True,False,False,False,sig.pos
HFE,-0.016270149754796747,0.003008505163997829,-0.016270149754796747,2.5216492387198284,True,False,False,True,False,True,False,False,sig.neg
APBA3,-0.003446573842839735,0.02258955148085075,-0.003446573842839735,1.646092391980271,True,False,False,True,False,True,False,False,sig.neg
PTBP1,0.08802632992721178,2.280928262759717e-07,0.08802632992721178,6.641888373459662,True,False,True,False,True,False,False,False,sig.pos
QPCTL,-0.0016640208790827888,0.00029917845617836916,-0.0016640208790827888,3.5240696831996914,True,False,False,True,False,True,False,False,sig.neg
TYROBP,-0.1517788560113978,8.303752712149506e-18,-0.1517788560113978,17.08072559270227,True,False,False,True,False,True,False,False,sig.neg
EXTL3,0.058347954298497415,7.037759473742477e-13,0.058347954298497415,12.152565579929274,True,False,True,False,True,False,False,False,sig.pos
SLC25A39,0.12542248998504446,4.9048682853612455e-12,0.12542248998504446,11.309372650609996,True,False,True,False,True,False,False,False,sig.pos
ZC3H3,0.13330565474244788,1.3192545389568976e-10,0.13330565474244788,9.879671402937806,True,False,True,False,True,False,False,False,sig.pos
XYLT2,-0.4067843353996348,6.574776215689702e-31,-0.4067843353996348,30.1821190245789,True,False,False,True,False,True,False,False,sig.neg
WWTR1,0.08492671275812161,0.0001848807032510655,0.08492671275812161,3.7331084155521177,True,False,True,False,True,False,False,False,sig.pos
CYP24A1,0.08886001419415421,1.575164763603219e-06,0.08886001419415421,5.802674011918088,True,False,True,False,True,False,False,False,sig.pos
NCDN,0.11896036769547363,2.8433744240885085e-10,0.11896036769547363,9.546165947341372,True,False,True,False,True,False,False,False,sig.pos
GRAMD1B,0.0048233365503319164,0.00040758307751756457,0.0048233365503319164,3.389783855807193,True,False,True,False,True,False,False,False,sig.pos
TYMP,0.04754872334430826,5.52151744044474e-09,0.04754872334430826,8.257941551718798,True,False,True,False,True,False,False,False,sig.pos
NCAPH2,0.22533496834039884,1.4208894685024718e-19,0.22533496834039884,18.847439704680905,True,False,True,False,True,False,False,False,sig.pos
TNFRSF1B,0.2906107670263855,3.6344535410238065e-24,0.2906107670263855,23.439560878328606,True,False,True,False,True,False,False,False,sig.pos
CHPF2,0.06586754086780976,0.0034972251887221686,0.06586754086780976,2.4562764022716217,True,False,True,False,True,False,False,False,sig.pos
ASTE1,0.04147385851646479,6.327753825010204e-07,0.04147385851646479,6.198750424978029,True,False,True,False,True,False,False,False,sig.pos
PEX3,-0.5693168072561505,2.6049196538516816e-38,-0.5693168072561505,37.584205667537965,True,False,False,True,False,True,False,False,sig.neg
GABARAPL2,0.041794571171722576,0.0005635534262926457,0.041794571171722576,3.249064905448912,True,False,True,False,True,False,False,False,sig.pos
METTL1,0.24193267645690197,5.735097178863484e-24,0.24193267645690197,23.241459218758948,True,False,True,False,True,False,False,False,sig.pos
VCAN,0.08962429465584118,4.404733373171926e-08,0.08962429465584118,7.356080375121336,True,False,True,False,True,False,False,False,sig.pos
