,lfc,lfc_std,pval,version,z
Baso,0.012356014649246485,0.15210815748277026,0.8478141439625022,version_0,-10.0
Ccr7_DC,-3.7863142909422742,8.466456138725842,0.373900966300059,version_0,-10.0
Eos,-0.48300716322717036,0.3606284014509761,0.07264429153983792,version_0,-10.0
Lymphoid,3.9863140024036987,15.800427029050681,0.6075835679228964,version_0,-10.0
Mast,0.031224443072066232,0.1444372386694793,0.621027159102009,version_0,-10.0
Meg,0.03173405061319984,0.17142512479456554,0.6283923242996186,version_0,-10.0
Monocyte,-0.14526295346994098,0.0678782406558664,0.0033845541812801763,version_0,-10.0
Neutrophil,0.02490353214986671,0.04896692066543519,0.49778649468524794,version_0,-10.0
Undifferentiated,0.09835111494754789,0.08679134410152424,0.0330208464755744,version_0,-10.0
Baso,-0.06899044626672551,0.1525739700718595,0.245804170710057,version_0,-7.5
Ccr7_DC,-3.7863142909422742,8.466456138725842,0.373900966300059,version_0,-7.5
Eos,-0.41862142883440623,1.087184728655733,0.4655366841960339,version_0,-7.5
Lymphoid,4.069321454169661,16.107385608174862,0.5115956785868325,version_0,-7.5
Mast,-0.011420310768283237,0.13389819423932858,0.8754654154581061,version_0,-7.5
Meg,0.04162560477038589,0.11919959837161534,0.47167889482871395,version_0,-7.5
Monocyte,-0.08720351233590724,0.10836386614731149,0.15503774107320922,version_0,-7.5
Neutrophil,0.04356791047339366,0.03885115636823493,0.2574516431482188,version_0,-7.5
Undifferentiated,0.06252816890495871,0.09619262511236673,0.1570961073472536,version_0,-7.5
Baso,-0.07043334991180956,0.13105847994469771,0.23841650430244749,version_0,-5.0
Ccr7_DC,-3.7863142909422742,8.466456138725842,0.373900966300059,version_0,-5.0
Eos,-0.05260681384105735,0.7797400047973188,1.0,version_0,-5.0
Lymphoid,4.069321454169661,15.785741031514648,0.5115956785868325,version_0,-5.0
Mast,-0.007401121620564157,0.14296223264291286,0.923493678138559,version_0,-5.0
Meg,0.027611770471804742,0.09543161823716245,0.5633881498225357,version_0,-5.0
Monocyte,-0.06052291098474762,0.060462254399911486,0.15850914264772992,version_0,-5.0
Neutrophil,0.047193588485430996,0.04325732892374204,0.21195800461246986,version_0,-5.0
Undifferentiated,0.03468611051393613,0.07230848381012851,0.24319699345805704,version_0,-5.0
Baso,-0.07019322695475783,0.11773940219506253,0.228506000773492,version_0,-2.5
Ccr7_DC,-3.7863142909422742,8.466456138725842,0.373900966300059,version_0,-2.5
Eos,-0.4830070189579908,0.6500255728965246,0.25398322317642,version_0,-2.5
Lymphoid,3.7863142909422742,15.878889395575447,0.7924704557545482,version_0,-2.5
Mast,-0.07438867544984382,0.15082710581918368,0.23802332849694066,version_0,-2.5
Meg,-0.0093232418523977,0.19513235339942306,0.9762782806101742,version_0,-2.5
Monocyte,-0.021207339191629558,0.07630401278143194,0.6587029781602033,version_0,-2.5
Neutrophil,0.055829986654889786,0.03675888392840316,0.13447667260465257,version_0,-2.5
Undifferentiated,0.012777769807932018,0.04518812598182972,0.6502896951639754,version_0,-2.5
Baso,-0.09440017534538223,0.1485588680275831,0.12421985320619838,version_0,0.0
Ccr7_DC,-3.7863142909422742,8.466456138725842,0.373900966300059,version_0,0.0
Eos,-0.24902235529788638,0.4719820549373818,0.22918252663182373,version_0,0.0
Lymphoid,3.9863140024036987,15.800427029050681,0.6075835679228964,version_0,0.0
Mast,-0.1005688724466822,0.15639526707899154,0.1060397845374205,version_0,0.0
Meg,0.006794838189360913,0.1719971156829759,0.8974096586858615,version_0,0.0
Monocyte,0.018096168759066944,0.10875467146629134,0.7086248279499067,version_0,0.0
Neutrophil,0.046450615555658416,0.03136003969905667,0.11897798484266814,version_0,0.0
Undifferentiated,-0.005550309333481981,0.11830320902477136,0.9136379567842757,version_0,0.0
Baso,-0.13421444437290528,0.09589312910818461,0.039533525112136265,version_0,2.5
Ccr7_DC,-3.7863142909422742,8.466456138725842,0.373900966300059,version_0,2.5
Eos,-0.5999995671918124,0.6863598542381344,0.03708968272305803,version_0,2.5
Lymphoid,3.9863140024036987,16.121778608973294,0.6075835679228964,version_0,2.5
Mast,-0.12266616697775276,0.18404137684109878,0.14958291706070542,version_0,2.5
Meg,0.02976014797757911,0.15929363707001878,0.6769616506107647,version_0,2.5
Monocyte,0.05470891496564719,0.07734145676499027,0.2290814387608625,version_0,2.5
Neutrophil,0.03778627546239505,0.03654288150076617,0.28687462385187074,version_0,2.5
Undifferentiated,-0.016439555142210047,0.061927613737404914,0.5326866601841433,version_0,2.5
Baso,-0.13604447991652904,0.13256630752207882,0.03827066611926428,version_0,5.0
Ccr7_DC,-3.7863142909422742,8.466456138725842,0.373900966300059,version_0,5.0
Eos,0.06438559012358466,0.7216140240676396,0.7659408169569955,version_0,5.0
Lymphoid,4.069321454169661,16.107385608174862,0.5115956785868325,version_0,5.0
