epoch,epoch_train_loss,epoch_validation_loss,opt_param_group_lr,sinkhorn_0.0_training,sinkhorn_0.0_validation,sinkhorn_5.0_training,sinkhorn_5.0_validation,step,total_epochs,velo_f_0.0_training,velo_f_0.0_validation,velo_f_5.0_training,velo_f_5.0_validation,velo_g_0.0_training,velo_g_0.0_validation,velo_g_5.0_training,velo_g_5.0_validation,velo_ratio_0.0_training,velo_ratio_0.0_validation,velo_ratio_5.0_training,velo_ratio_5.0_validation
0,,,3.9999998989515007e-05,0.0,,999.2113037109375,,0,0.0,0.010133578442037106,,0.010120058432221413,,4.0460991859436035,,4.088096618652344,,623.7483520507812,,623.7628173828125,
0,,,3.9999998989515007e-05,0.0,,959.6810302734375,,1,0.0,0.011936905793845654,,0.011919889599084854,,3.9195666313171387,,3.934819459915161,,623.4781494140625,,623.4862060546875,
0,,,3.9999998989515007e-05,0.0,,978.042724609375,,2,0.0,0.014634959399700165,,0.014557537622749805,,3.859499454498291,,3.8552212715148926,,623.1054077148438,,623.1134033203125,
0,,,3.9999998989515007e-05,0.0,,946.0113525390625,,3,0.0,0.017376380041241646,,0.017315616831183434,,3.758296489715576,,3.74460506439209,,622.6904296875,,622.6900634765625,
0,,,3.9999998989515007e-05,0.0,,949.5025634765625,,4,0.0,0.01998957060277462,,0.019883567467331886,,3.710024356842041,,3.692293167114258,,622.3088989257812,,622.310302734375,
0,,,3.9999998989515007e-05,0.0,,906.3699951171875,,5,0.0,0.02272356115281582,,0.022565720602869987,,3.6213040351867676,,3.585972785949707,,621.866455078125,,621.8575439453125,
0,,,3.9999998989515007e-05,0.0,,920.81982421875,,6,0.0,0.0253423061221838,,0.025178546085953712,,3.603506565093994,,3.5563578605651855,,621.4886474609375,,621.465087890625,
0,,,3.9999998989515007e-05,0.0,,958.0030517578125,,7,0.0,0.02795884571969509,,0.027738133445382118,,3.565385341644287,,3.5080580711364746,,621.085205078125,,621.0527954101562,
0,,,3.9999998989515007e-05,0.0,,908.5308227539062,,8,0.0,0.030419517308473587,,0.03017548657953739,,3.5232248306274414,,3.455493450164795,,620.6903686523438,,620.641357421875,
0,,,3.9999998989515007e-05,0.0,,905.9854736328125,,9,0.0,0.032961465418338776,,0.03267218545079231,,3.469876289367676,,3.386406183242798,,620.2593994140625,,620.185302734375,
0,,,3.9999998989515007e-05,0.0,,897.2217407226562,,10,0.0,0.03547905758023262,,0.0352531336247921,,3.462372303009033,,3.37896728515625,,619.8870239257812,,619.7942504882812,
0,,,3.9999998989515007e-05,0.0,,900.05615234375,,11,0.0,0.037762351334095,,0.037455786019563675,,3.4338157176971436,,3.3339855670928955,,619.5134887695312,,619.3953247070312,
