epoch,epoch_train_loss,epoch_validation_loss,opt_param_group_lr,sinkhorn_0.0_training,sinkhorn_0.0_validation,sinkhorn_1.0_training,sinkhorn_1.0_validation,sinkhorn_10.0_training,sinkhorn_10.0_validation,sinkhorn_2.0_training,sinkhorn_2.0_validation,sinkhorn_3.0_training,sinkhorn_3.0_validation,sinkhorn_4.0_training,sinkhorn_4.0_validation,sinkhorn_5.0_training,sinkhorn_5.0_validation,sinkhorn_6.0_training,sinkhorn_6.0_validation,sinkhorn_7.0_training,sinkhorn_7.0_validation,sinkhorn_8.0_training,sinkhorn_8.0_validation,sinkhorn_9.0_training,sinkhorn_9.0_validation,step,total_epochs,velo_f_0.0_training,velo_f_0.0_validation,velo_f_1.0_training,velo_f_1.0_validation,velo_f_10.0_training,velo_f_10.0_validation,velo_f_2.0_training,velo_f_2.0_validation,velo_f_3.0_training,velo_f_3.0_validation,velo_f_4.0_training,velo_f_4.0_validation,velo_f_5.0_training,velo_f_5.0_validation,velo_f_6.0_training,velo_f_6.0_validation,velo_f_7.0_training,velo_f_7.0_validation,velo_f_8.0_training,velo_f_8.0_validation,velo_f_9.0_training,velo_f_9.0_validation,velo_g_0.0_training,velo_g_0.0_validation,velo_g_1.0_training,velo_g_1.0_validation,velo_g_10.0_training,velo_g_10.0_validation,velo_g_2.0_training,velo_g_2.0_validation,velo_g_3.0_training,velo_g_3.0_validation,velo_g_4.0_training,velo_g_4.0_validation,velo_g_5.0_training,velo_g_5.0_validation,velo_g_6.0_training,velo_g_6.0_validation,velo_g_7.0_training,velo_g_7.0_validation,velo_g_8.0_training,velo_g_8.0_validation,velo_g_9.0_training,velo_g_9.0_validation,velo_ratio_0.0_training,velo_ratio_0.0_validation,velo_ratio_1.0_training,velo_ratio_1.0_validation,velo_ratio_10.0_training,velo_ratio_10.0_validation,velo_ratio_2.0_training,velo_ratio_2.0_validation,velo_ratio_3.0_training,velo_ratio_3.0_validation,velo_ratio_4.0_training,velo_ratio_4.0_validation,velo_ratio_5.0_training,velo_ratio_5.0_validation,velo_ratio_6.0_training,velo_ratio_6.0_validation,velo_ratio_7.0_training,velo_ratio_7.0_validation,velo_ratio_8.0_training,velo_ratio_8.0_validation,velo_ratio_9.0_training,velo_ratio_9.0_validation
0,,,9.999999747378752e-05,0.0,,161.8594970703125,,146.13543701171875,,152.96315002441406,,136.6568145751953,,132.21641540527344,,146.6088409423828,,127.06959533691406,,166.94882202148438,,135.7200164794922,,138.4064178466797,,0,0.0,0.008382518775761127,,0.008363996632397175,,0.00840562954545021,,0.008350578136742115,,0.00835411250591278,,0.008355806581676006,,0.0083953021094203,,0.008409119211137295,,0.008391076698899269,,0.008406979031860828,,0.008418251760303974,,1.600106954574585,,1.5995421409606934,,1.628969430923462,,1.6040358543395996,,1.6047641038894653,,1.6099629402160645,,1.614192008972168,,1.6130127906799316,,1.6161177158355713,,1.6196730136871338,,1.6251895427703857,,622.3833618164062,,622.3882446289062,,622.422607421875,,622.3997802734375,,622.3997802734375,,622.4076538085938,,622.4022827148438,,622.3961181640625,,622.4066772460938,,622.4074096679688,,622.4127197265625,
0,,,9.999999747378752e-05,0.0,,162.47738647460938,,150.05044555664062,,153.56588745117188,,142.61630249023438,,133.42637634277344,,147.49916076660156,,120.35983276367188,,161.61184692382812,,123.28677368164062,,131.54978942871094,,1,0.0,0.018066728487610817,,0.01812322437763214,,0.017234722152352333,,0.01805480755865574,,0.017999451607465744,,0.017920954152941704,,0.017823845148086548,,0.017698930576443672,,0.017577355727553368,,0.017444375902414322,,0.01733567751944065,,1.4316208362579346,,1.4320533275604248,,1.4371832609176636,,1.433772325515747,,1.433288812637329,,1.431767463684082,,1.4245021343231201,,1.4277794361114502,,1.4330174922943115,,1.4349284172058105,,1.437263011932373,,618.7060546875,,618.688232421875,,619.0184326171875,,618.7196044921875,,618.7366333007812,,618.75732421875,,618.7594604492188,,618.8173217773438,,618.882080078125,,618.936279296875,,618.9837646484375,
0,,,9.999999747378752e-05,0.0,,171.64105224609375,,143.70755004882812,,161.16148376464844,,153.24002075195312,,132.0442657470703,,151.27297973632812,,133.42526245117188,,164.21041870117188,,127.13864135742188,,147.68807983398438,,2,0.0,0.028628436848521233,,0.02857087552547455,,0.027532869949936867,,0.028404835611581802,,0.028195176273584366,,0.028081143274903297,,0.02802131511271,,0.02801266871392727,,0.027950985357165337,,0.027961432933807373,,0.027784857898950577,,1.3531087636947632,,1.3477720022201538,,1.3322498798370361,,1.347182035446167,,1.3437931537628174,,1.3430438041687012,,1.3404232263565063,,1.3386509418487549,,1.3381417989730835,,1.3324878215789795,,1.3339818716049194,,614.4660034179688,,614.4456787109375,,614.7095336914062,,614.502197265625,,614.5531005859375,,614.5894165039062,,614.59130859375,,614.5807495117188,,614.5997314453125,,614.5518188476562,,614.629150390625,
0,,3456.8798828125,9.999999747378752e-05,,0.0,,367.115234375,,317.49530029296875,,316.03656005859375,,383.93365478515625,,330.1148681640625,,357.7325439453125,,287.1153869628906,,438.1536865234375,,303.6494140625,,355.533203125,2,0.0,,0.03505440801382065,,0.03494080528616905,,0.033232931047677994,,0.03465268760919571,,0.03439544141292572,,0.0342535637319088,,0.0343516543507576,,0.03453661501407623,,0.03454926609992981,,0.03406734764575958,,0.03357478976249695,,1.0425447225570679,,1.0339977741241455,,1.0336285829544067,,1.0360015630722046,,1.030393123626709,,1.025856614112854,,1.0249723196029663,,1.0242581367492676,,1.0212039947509766,,1.0257824659347534,,1.0275007486343384,,608.3010864257812,,608.2182006835938,,609.0275268554688,,608.3876342773438,,608.4209594726562,,608.4163818359375,,608.35498046875,,608.25439453125,,608.1985473632812,,608.5048217773438,,608.7686767578125
0,1452.1861572265625,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,9.999999747378752e-05,0.0,,144.6435546875,,127.40328979492188,,147.14566040039062,,129.23098754882812,,114.2253189086914,,129.245361328125,,118.6046142578125,,137.05255126953125,,121.93035888671875,,121.78548431396484,,3,1.0,0.03873138502240181,,0.038280315697193146,,0.0362088680267334,,0.0377848744392395,,0.037534892559051514,,0.03727399930357933,,0.0372934527695179,,0.0373733825981617,,0.037282247096300125,,0.03703554347157478,,0.03661400079727173,,1.2078919410705566,,1.201431393623352,,1.1776354312896729,,1.1988328695297241,,1.196638822555542,,1.1871068477630615,,1.181558609008789,,1.1795722246170044,,1.1765371561050415,,1.1755526065826416,,1.1744112968444824,,609.0701293945312,,609.17041015625,,609.720947265625,,609.34033203125,,609.4149780273438,,609.3991088867188,,609.318115234375,,609.2584228515625,,609.2562866210938,,609.3468017578125,,609.5089111328125,
1,,,9.999999747378752e-05,0.0,,144.19387817382812,,126.61317443847656,,150.96957397460938,,138.14088439941406,,115.90519714355469,,133.37142944335938,,121.22270202636719,,134.64730834960938,,119.5031967163086,,126.63388061523438,,4,1.0,0.04708929732441902,,0.04655047506093979,,0.04306064918637276,,0.04593599960207939,,0.04551108181476593,,0.045202743262052536,,0.04517495259642601,,0.045007795095443726,,0.04470435902476311,,0.04418954253196716,,0.043668344616889954,,1.143255591392517,,1.1358548402786255,,1.1036738157272339,,1.1299107074737549,,1.123369574546814,,1.1156189441680908,,1.1095263957977295,,1.108156681060791,,1.107235074043274,,1.1055395603179932,,1.099846363067627,,604.5753173828125,,604.6765747070312,,605.6443481445312,,604.8379516601562,,604.9075927734375,,604.9051513671875,,604.8080444335938,,604.857421875,,604.9756469726562,,605.1741943359375,,605.3056030273438,
1,,,9.999999747378752e-05,0.0,,137.8467254638672,,119.90107727050781,,145.42428588867188,,118.16761016845703,,113.89617156982422,,129.4744873046875,,122.31969451904297,,140.9495391845703,,106.34440612792969,,127.29238891601562,,5,1.0,0.05465938523411751,,0.053798895329236984,,0.048861246556043625,,0.05328443646430969,,0.05266312509775162,,0.052430059760808945,,0.05233786627650261,,0.05200011283159256,,0.051223963499069214,,0.05063008889555931,,0.04988912492990494,,1.108347773551941,,1.0941731929779053,,1.0581387281417847,,1.0803992748260498,,1.0692510604858398,,1.0609794855117798,,1.0555529594421387,,1.0525410175323486,,1.0509984493255615,,1.0523934364318848,,1.0560508966445923,,600.5851440429688,,600.657470703125,,602.1248779296875,,600.5836181640625,,600.616455078125,,600.535888671875,,600.4541625976562,,600.5418701171875,,600.8683471679688,,601.1766967773438,,601.6025390625,
1,,2362.38623046875,9.999999747378752e-05,,0.0,,204.71713256835938,,205.3223114013672,,235.6208953857422,,258.65228271484375,,265.5868835449219,,276.9060363769531,,181.5100555419922,,306.9044189453125,,210.899169921875,,216.2669677734375,5,1.0,,0.06499098986387253,,0.06352841109037399,,0.05429449677467346,,0.06296619027853012,,0.06258537620306015,,0.06171194836497307,,0.061092834919691086,,0.059599991887807846,,0.05900361016392708,,0.05794677510857582,,0.05643877014517784,,0.8406462669372559,,0.8168752193450928,,0.811677098274231,,0.7980557084083557,,0.7872330546379089,,0.7800795435905457,,0.7788681983947754,,0.779606282711029,,0.7787607908248901,,0.7882050275802612,,0.7994545102119446,,586.9422607421875,,586.7197875976562,,592.0016479492188,,586.1727905273438,,585.8818359375,,586.0708618164062,,586.396240234375,,587.3599853515625,,587.6910400390625,,588.7818603515625,,590.2000732421875
1,1288.0281982421875,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
