epoch,epoch_train_loss,epoch_validation_loss,opt_param_group_lr,sinkhorn_0.0_training,sinkhorn_0.0_validation,sinkhorn_2.0_training,sinkhorn_2.0_validation,sinkhorn_4.0_training,sinkhorn_4.0_validation,step,total_epochs,velo_f_0.0_training,velo_f_0.0_validation,velo_f_2.0_training,velo_f_2.0_validation,velo_f_4.0_training,velo_f_4.0_validation,velo_g_0.0_training,velo_g_0.0_validation,velo_g_2.0_training,velo_g_2.0_validation,velo_g_4.0_training,velo_g_4.0_validation,velo_ratio_0.0_training,velo_ratio_0.0_validation,velo_ratio_2.0_training,velo_ratio_2.0_validation,velo_ratio_4.0_training,velo_ratio_4.0_validation
0,,,3.9999998989515007e-05,0.0,,455.74920654296875,,946.7012939453125,,0,0.0,0.009506742469966412,,0.009583120234310627,,0.009602083824574947,,4.336385726928711,,4.335134506225586,,4.331302642822266,,623.9043579101562,,623.8951416015625,,623.89208984375,
0,,,3.9999998989515007e-05,0.0,,433.47314453125,,922.225341796875,,1,0.0,0.01154203712940216,,0.011514715850353241,,0.011508723720908165,,4.173332214355469,,4.148415565490723,,4.134801864624023,,623.617919921875,,623.6129150390625,,623.609130859375,
0,,,3.9999998989515007e-05,0.0,,442.4570007324219,,919.3934326171875,,2,0.0,0.014223664999008179,,0.014132617972791195,,0.014119589701294899,,4.096092700958252,,4.063821792602539,,4.03267765045166,,623.2649536132812,,623.2623901367188,,623.2506103515625,
0,,,3.9999998989515007e-05,0.0,,470.323974609375,,896.947509765625,,3,0.0,0.017130723223090172,,0.017087668180465698,,0.017050882801413536,,4.04941987991333,,4.008450984954834,,3.9690184593200684,,622.8865356445312,,622.870361328125,,622.8538208007812,
0,,,3.9999998989515007e-05,0.0,,431.9747314453125,,883.2700805664062,,4,0.0,0.019796831533312798,,0.01977611891925335,,0.019758259877562523,,3.954951763153076,,3.9044952392578125,,3.857670783996582,,622.4996948242188,,622.4700927734375,,622.4417724609375,
0,,,3.9999998989515007e-05,0.0,,469.16900634765625,,903.5209350585938,,5,0.0,0.022715572267770767,,0.022681938484311104,,0.022663643583655357,,3.9318666458129883,,3.8736841678619385,,3.818361282348633,,622.1146850585938,,622.0757446289062,,622.0357666015625,
0,,1518.054443359375,3.9999998989515007e-05,,0.0,,548.4517822265625,,969.6025390625,5,0.0,,0.02623872272670269,,0.02620045840740204,,0.02617150917649269,,4.162339210510254,,4.109372615814209,,4.053278923034668,,621.85205078125,,621.816162109375,,621.7756958007812
0,1362.5343017578125,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
1,,,3.9999998989515007e-05,0.0,,415.8456115722656,,884.9000244140625,,6,1.0,0.025718344375491142,,0.02565710060298443,,0.025585472583770752,,3.82415771484375,,3.7629544734954834,,3.7050750255584717,,621.641845703125,,621.595458984375,,621.552001953125,
1,,,3.9999998989515007e-05,0.0,,423.36962890625,,891.9180297851562,,7,1.0,0.028712868690490723,,0.028633249923586845,,0.028570687398314476,,3.763157844543457,,3.6902036666870117,,3.627161979675293,,621.1907958984375,,621.1263427734375,,621.0677490234375,
1,,,3.9999998989515007e-05,0.0,,459.566162109375,,868.4854736328125,,8,1.0,0.03168303146958351,,0.03159397840499878,,0.03150537237524986,,3.722620725631714,,3.6461901664733887,,3.5764331817626953,,620.751708984375,,620.6751098632812,,620.6032104492188,
1,,,3.9999998989515007e-05,0.0,,411.59869384765625,,854.930908203125,,9,1.0,0.034657612442970276,,0.03452327474951744,,0.034389544278383255,,3.665269374847412,,3.58896803855896,,3.5147552490234375,,620.2811279296875,,620.1996459960938,,620.1174926757812,
1,,,3.9999998989515007e-05,0.0,,426.0672912597656,,881.720458984375,,10,1.0,0.0374591127038002,,0.03728031739592552,,0.03714309632778168,,3.6969263553619385,,3.6120378971099854,,3.535783290863037,,619.9439697265625,,619.8500366210938,,619.758544921875,
1,,,3.9999998989515007e-05,0.0,,398.6774597167969,,859.8128051757812,,11,1.0,0.04015963152050972,,0.04000834748148918,,0.039848532527685165,,3.5907373428344727,,3.5032126903533936,,3.419950246810913,,619.42041015625,,619.3027954101562,,619.1876831054688,
1,,1074.482421875,3.9999998989515007e-05,,0.0,,314.2479553222656,,760.2344970703125,11,1.0,,0.04208354279398918,,0.04193691536784172,,0.04172557219862938,,2.979661226272583,,2.902780532836914,,2.8308184146881104,,617.9581298828125,,617.7973022460938,,617.65185546875
1,1296.1488037109375,,,,,,,,,11,,,,,,,,,,,,,,,,,,,
