epoch,epoch_train_loss,epoch_validation_loss,opt_param_group_lr,sinkhorn_0.0_training,sinkhorn_0.0_validation,sinkhorn_1.0_training,sinkhorn_1.0_validation,sinkhorn_10.0_training,sinkhorn_10.0_validation,sinkhorn_2.0_training,sinkhorn_2.0_validation,sinkhorn_3.0_training,sinkhorn_3.0_validation,sinkhorn_4.0_training,sinkhorn_4.0_validation,sinkhorn_5.0_training,sinkhorn_5.0_validation,sinkhorn_6.0_training,sinkhorn_6.0_validation,sinkhorn_7.0_training,sinkhorn_7.0_validation,sinkhorn_8.0_training,sinkhorn_8.0_validation,sinkhorn_9.0_training,sinkhorn_9.0_validation,step,total_epochs,velo_f_0.0_training,velo_f_0.0_validation,velo_f_1.0_training,velo_f_1.0_validation,velo_f_10.0_training,velo_f_10.0_validation,velo_f_2.0_training,velo_f_2.0_validation,velo_f_3.0_training,velo_f_3.0_validation,velo_f_4.0_training,velo_f_4.0_validation,velo_f_5.0_training,velo_f_5.0_validation,velo_f_6.0_training,velo_f_6.0_validation,velo_f_7.0_training,velo_f_7.0_validation,velo_f_8.0_training,velo_f_8.0_validation,velo_f_9.0_training,velo_f_9.0_validation,velo_g_0.0_training,velo_g_0.0_validation,velo_g_1.0_training,velo_g_1.0_validation,velo_g_10.0_training,velo_g_10.0_validation,velo_g_2.0_training,velo_g_2.0_validation,velo_g_3.0_training,velo_g_3.0_validation,velo_g_4.0_training,velo_g_4.0_validation,velo_g_5.0_training,velo_g_5.0_validation,velo_g_6.0_training,velo_g_6.0_validation,velo_g_7.0_training,velo_g_7.0_validation,velo_g_8.0_training,velo_g_8.0_validation,velo_g_9.0_training,velo_g_9.0_validation,velo_ratio_0.0_training,velo_ratio_0.0_validation,velo_ratio_1.0_training,velo_ratio_1.0_validation,velo_ratio_10.0_training,velo_ratio_10.0_validation,velo_ratio_2.0_training,velo_ratio_2.0_validation,velo_ratio_3.0_training,velo_ratio_3.0_validation,velo_ratio_4.0_training,velo_ratio_4.0_validation,velo_ratio_5.0_training,velo_ratio_5.0_validation,velo_ratio_6.0_training,velo_ratio_6.0_validation,velo_ratio_7.0_training,velo_ratio_7.0_validation,velo_ratio_8.0_training,velo_ratio_8.0_validation,velo_ratio_9.0_training,velo_ratio_9.0_validation
0,,,9.999999747378752e-05,0.0,,111.3957748413086,,326.604248046875,,120.80255126953125,,140.3169403076172,,155.30517578125,,176.88131713867188,,217.37478637695312,,258.5317687988281,,301.79718017578125,,298.13116455078125,,0,0.0,0.009722797200083733,,0.009727530181407928,,0.009605834260582924,,0.009705738164484501,,0.009738335385918617,,0.009719560854136944,,0.00968209095299244,,0.009681141003966331,,0.009649991989135742,,0.00965934433043003,,0.009651909582316875,,1.8112554550170898,,1.827407956123352,,1.9264521598815918,,1.839915156364441,,1.84796142578125,,1.8556594848632812,,1.8670694828033447,,1.8796076774597168,,1.8932456970214844,,1.9073160886764526,,1.9163298606872559,,622.3189086914062,,622.3412475585938,,622.5093383789062,,622.3652954101562,,622.367919921875,,622.3838500976562,,622.4098510742188,,622.4273681640625,,622.4540405273438,,622.4703979492188,,622.4842529296875,
0,,,9.999999747378752e-05,0.0,,121.30170440673828,,308.6683044433594,,125.77503967285156,,138.01358032226562,,154.81826782226562,,179.41305541992188,,210.1536407470703,,243.656494140625,,292.1036376953125,,279.74322509765625,,1,0.0,0.017594611272215843,,0.017544720321893692,,0.01686924882233143,,0.017506012693047523,,0.017419293522834778,,0.01734694093465805,,0.017318284139037132,,0.017220092937350273,,0.017154593020677567,,0.017066029831767082,,0.016971519216895103,,1.7520147562026978,,1.760339617729187,,1.778592824935913,,1.7637702226638794,,1.7719075679779053,,1.7766344547271729,,1.7721105813980103,,1.784736156463623,,1.7811607122421265,,1.7770068645477295,,1.7800498008728027,,619.9888916015625,,620.026611328125,,620.2667236328125,,620.0471801757812,,620.0942993164062,,620.1275634765625,,620.1231689453125,,620.18505859375,,620.1937255859375,,620.2073364257812,,620.241943359375,
0,,,9.999999747378752e-05,0.0,,124.43885803222656,,301.6231994628906,,125.7916259765625,,143.4129638671875,,147.96182250976562,,165.57125854492188,,207.3390655517578,,236.9717559814453,,271.8023681640625,,277.918701171875,,2,0.0,0.026628321036696434,,0.02673329785466194,,0.02593517117202282,,0.026693452149629593,,0.026665179058909416,,0.026591023430228233,,0.026530547067523003,,0.026465749368071556,,0.026340752840042114,,0.026235714554786682,,0.026086047291755676,,1.619727611541748,,1.623535394668579,,1.60218346118927,,1.6256080865859985,,1.62482750415802,,1.616454839706421,,1.6148289442062378,,1.6093699932098389,,1.6106159687042236,,1.6071584224700928,,1.6036254167556763,,616.8070678710938,,616.7940673828125,,616.9324951171875,,616.816650390625,,616.8214111328125,,616.802001953125,,616.812255859375,,616.8046875,,616.8494873046875,,616.864501953125,,616.89306640625,
0,,2258.643310546875,9.99999901978299e-05,,0.0,,137.42588806152344,,342.3310546875,,152.84378051757812,,196.50741577148438,,187.78369140625,,205.35482788085938,,207.02273559570312,,228.5224151611328,,298.6773986816406,,302.1740417480469,2,0.0,,0.03702842816710472,,0.03691016882658005,,0.035762157291173935,,0.036901991814374924,,0.036893799901008606,,0.03710685297846794,,0.03700525686144829,,0.03696681186556816,,0.03683764487504959,,0.03672749921679497,,0.03636346757411957,,1.2550153732299805,,1.246324896812439,,1.2250617742538452,,1.2395129203796387,,1.2362356185913086,,1.2342561483383179,,1.2326985597610474,,1.2274643182754517,,1.2274926900863647,,1.226211428642273,,1.2229102849960327,,610.3348999023438,,610.2801513671875,,610.4891357421875,,610.2030029296875,,610.167236328125,,610.058349609375,,610.0802612304688,,610.0325317382812,,610.0848388671875,,610.1136474609375,,610.2208862304688
0,2054.539794921875,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,9.999999747378752e-05,0.0,,135.01425170898438,,270.88726806640625,,155.01026916503906,,169.81842041015625,,188.4658203125,,212.7327880859375,,215.57281494140625,,246.76385498046875,,259.10455322265625,,245.2914581298828,,3,1.0,0.03592177852988243,,0.035936154425144196,,0.03483881428837776,,0.03596639260649681,,0.03590015694499016,,0.03592852130532265,,0.03584975004196167,,0.0357840470969677,,0.03564279526472092,,0.03551039099693298,,0.03520998731255531,,1.511326789855957,,1.5092424154281616,,1.4816843271255493,,1.5051887035369873,,1.4987256526947021,,1.4975042343139648,,1.4937973022460938,,1.4918991327285767,,1.4909412860870361,,1.4922831058502197,,1.4867358207702637,,613.1723022460938,,613.1513671875,,613.2987670898438,,613.109619140625,,613.08056640625,,613.0614013671875,,613.05810546875,,613.064697265625,,613.1040649414062,,613.1586303710938,,613.2146606445312,
1,,,9.999999747378752e-05,0.0,,129.37982177734375,,271.5629577636719,,143.27664184570312,,152.3971405029297,,179.52734375,,186.54486083984375,,210.48049926757812,,236.29151916503906,,256.9404296875,,241.5095672607422,,4,1.0,0.044657569378614426,,0.04451123997569084,,0.04238051176071167,,0.04441145062446594,,0.04429665952920914,,0.04433280602097511,,0.04423770308494568,,0.044016074389219284,,0.04387709125876427,,0.04352687671780586,,0.04299214482307434,,1.4319790601730347,,1.424950122833252,,1.3719016313552856,,1.4197019338607788,,1.4137248992919922,,1.404426097869873,,1.4019510746002197,,1.3960586786270142,,1.3894351720809937,,1.3853940963745117,,1.3810468912124634,,609.5043334960938,,609.47900390625,,609.6494750976562,,609.456787109375,,609.4315795898438,,609.3164672851562,,609.3223876953125,,609.3350219726562,,609.3101806640625,,609.3895263671875,,609.5318603515625,
1,,,9.999999747378752e-05,0.0,,122.16116333007812,,255.29136657714844,,144.4595947265625,,146.41958618164062,,171.04443359375,,182.95114135742188,,204.60061645507812,,220.79905700683594,,248.33718872070312,,230.78057861328125,,5,1.0,0.05346420407295227,,0.05322800949215889,,0.0494551882147789,,0.0532052181661129,,0.053127843886613846,,0.05308274179697037,,0.052827466279268265,,0.05251273140311241,,0.052152711898088455,,0.0513620488345623,,0.05046791955828667,,1.3498778343200684,,1.336679220199585,,1.2570538520812988,,1.3221341371536255,,1.3124504089355469,,1.3067950010299683,,1.29891037940979,,1.2864177227020264,,1.2781695127487183,,1.2700036764144897,,1.262784481048584,,605.3534545898438,,605.248046875,,605.4837036132812,,605.0409545898438,,604.9238891601562,,604.854736328125,,604.830078125,,604.7562255859375,,604.76513671875,,604.9423217773438,,605.1769409179688,
1,,1804.8365478515625,9.999999747378752e-05,,,,0.0,,368.580078125,,59.99514389038086,,78.78455352783203,,103.76612854003906,,138.91278076171875,,203.5409698486328,,234.20504760742188,,292.53717041015625,,324.5147399902344,5,1.0,,,,0.06427842378616333,,0.05554516240954399,,0.06390272825956345,,0.0635513886809349,,0.06301235407590866,,0.06233126297593117,,0.06136969476938248,,0.06051584705710411,,0.05900745838880539,,0.05736733600497246,,,,1.4614711999893188,,1.3127936124801636,,1.4390859603881836,,1.414162278175354,,1.395715594291687,,1.3754801750183105,,1.3636908531188965,,1.3487608432769775,,1.329617977142334,,1.3186825513839722,,,,603.2024536132812,,604.0236206054688,,602.9946899414062,,602.7322998046875,,602.63037109375,,602.54736328125,,602.701171875,,602.7673950195312,,603.00732421875,,603.4375
1,2011.1390380859375,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
