gene,pooled_mean_lfc_re,combined_pval,x,y,significant,insignificant,pos,neg,sig.pos,sig.neg,insig.pos,insig.neg,group
Clec4b2,-0.15180640973644977,0.0022478899720070173,-0.15180640973644977,2.648224950095703,True,False,False,True,False,True,False,False,sig.neg
Clec4d,0.41232456089833025,6.166389308157332e-19,0.41232456089833025,18.209969060042983,True,False,True,False,True,False,False,False,sig.pos
Clec4e,0.3289326744235391,1.6486612006715777e-14,0.3289326744235391,13.782868582558176,True,False,True,False,True,False,False,False,sig.pos
Clec4f,-0.1035318138624726,0.01991074447260369,-0.1035318138624726,1.7009125011830837,True,False,False,True,False,True,False,False,sig.neg
Clec4n,0.4153116892466059,6.875501725930723e-19,0.4153116892466059,18.162695604573678,True,False,True,False,True,False,False,False,sig.pos
Clec7a,0.20035410505565926,6.083375019140738e-06,0.20035410505565926,5.2158554099511525,True,False,True,False,True,False,False,False,sig.pos
Clic4,0.12164038524316008,0.0034524935590146324,0.12164038524316008,2.461867122970044,True,False,True,False,True,False,False,False,sig.pos
Clic5,-0.11028409635214384,0.009948545029821152,-0.11028409635214384,2.0022404299803287,True,False,False,True,False,True,False,False,sig.neg
Clip3,-0.08041710687441317,0.04156781614384003,-0.08041710687441317,1.3812427915051686,True,False,False,True,False,True,False,False,sig.neg
Clip4,-0.062001827283490955,0.35285450661051393,-0.062001827283490955,0.4524043314434516,False,True,False,True,False,False,False,True,insig.neg
Clnk,-0.16051892020792974,0.0004184184450355741,-0.16051892020792974,3.378389178823857,True,False,False,True,False,True,False,False,sig.neg
Cma1,-0.3021583018922137,9.89502229031187e-11,-0.3021583018922137,10.004583223130295,True,False,False,True,False,True,False,False,sig.neg
Cmpk2,-0.07744301880594909,0.21620385561019834,-0.07744301880594909,0.6651365654460627,False,True,False,True,False,False,False,True,insig.neg
Cmtm8,-0.12254001694667987,0.005856819614990904,-0.12254001694667987,2.2323381516627454,True,False,False,True,False,True,False,False,sig.neg
Cmya5,-0.11659815568600838,0.018444802519931275,-0.11659815568600838,1.7341259902047708,True,False,False,True,False,True,False,False,sig.neg
Cndp2,0.2178406721475937,1.1693778987843546e-09,0.2178406721475937,8.932045118576983,True,False,True,False,True,False,False,False,sig.pos
Cnfn,-0.07579343010851693,0.29924583006498356,-0.07579343010851693,0.5239718926922629,False,True,False,True,False,False,False,True,insig.neg
Cnn2,-0.3093567216817961,5.1791155484028735e-12,-0.3093567216817961,11.285744399568326,True,False,False,True,False,True,False,False,sig.neg
Cnn3,0.0092067579802837,0.7486267211960824,0.0092067579802837,0.1257346754036753,False,True,True,False,False,False,True,False,insig.pos
Cnrip1,-0.10540166607131576,0.011344598887807835,-0.10540166607131576,1.9452108549038811,True,False,False,True,False,True,False,False,sig.neg
Cntn4,-0.08474283003944678,0.24512373755561034,-0.08474283003944678,0.6106146300362207,False,True,False,True,False,False,False,True,insig.neg
Cobl,-0.2599638564726256,4.106150690836053e-08,-0.2599638564726256,7.386565116583134,True,False,False,True,False,True,False,False,sig.neg
Coch,-0.06990651784107721,0.1661041322191633,-0.06990651784107721,0.7796195633483763,False,True,False,True,False,False,False,True,insig.neg
Col16a1,-0.09813584603575426,0.1264686617345516,-0.09813584603575426,0.8980170770325493,False,True,False,True,False,False,False,True,insig.neg
