velo_g_4.0_training,step,velo_g_7.0_training,velo_f_7.0_training,sinkhorn_7.0_training,total_epochs,velo_f_4.0_training,sinkhorn_4.0_training,velo_ratio_7.0_training,epoch,velo_ratio_4.0_training,opt_param_group_lr,velo_f_4.0_validation,velo_f_7.0_validation,sinkhorn_7.0_validation,epoch_validation_loss,velo_g_4.0_validation,velo_ratio_7.0_validation,velo_g_7.0_validation,velo_ratio_4.0_validation,sinkhorn_4.0_validation,epoch_train_loss
1.337593674659729,0,1.352796196937561,0.010196274146437645,127.1141128540039,0.0,0.010289902798831463,0.0,621.2371215820312,0,621.1594848632812,9.999999747378752e-05,,,,,,,,,,
1.3531140089035034,1,1.333544135093689,0.021868180483579636,137.2538299560547,0.0,0.022983161732554436,0.0,616.8276977539062,0,616.5361328125,9.999999747378752e-05,,,,,,,,,,
,1,,,,0.0,,,,0,,0.00010000000474974513,0.026731479912996292,0.02587517909705639,138.45848083496094,122.4820327758789,1.2374602556228638,614.4527587890625,1.2226547002792358,614.23095703125,0.0,
,1,,,,,,,,0,,,,,,,,,,,,132.18397521972656
1.2577224969863892,2,1.2513281106948853,0.02595437876880169,126.86072540283203,1.0,0.026635145768523216,0.0,614.6723022460938,1,614.4562377929688,9.999999747378752e-05,,,,,,,,,,
1.1963260173797607,3,1.2005720138549805,0.03662119060754776,153.0972442626953,1.0,0.03812025114893913,0.0,609.841552734375,1,609.1693115234375,9.999999747378752e-05,,,,,,,,,,
,3,,,,1.0,,,,1,,9.999999747378752e-05,0.043609797954559326,0.04208270087838173,137.80477905273438,113.74898529052734,1.2089611291885376,607.5630493164062,1.1984591484069824,607.09033203125,0.0,
,3,,,,,,,,1,,,,,,,,,,,,139.97898864746094
1.1982918977737427,4,1.1860657930374146,0.041530709713697433,127.21686553955078,2.0,0.04322795197367668,0.0,607.6148071289062,2,607.0928344726562,9.999999747378752e-05,,,,,,,,,,
,4,,,,2.0,,,,2,,9.999999747378752e-05,0.05100774019956589,0.049493998289108276,150.79843139648438,131.4940948486328,1.1089829206466675,602.5164794921875,1.0916759967803955,602.1987915039062,0.0,
