epoch,epoch_train_loss,epoch_validation_loss,opt_param_group_lr,sinkhorn_0.0_training,sinkhorn_0.0_validation,sinkhorn_1.0_training,sinkhorn_1.0_validation,sinkhorn_10.0_training,sinkhorn_10.0_validation,sinkhorn_2.0_training,sinkhorn_2.0_validation,sinkhorn_3.0_training,sinkhorn_3.0_validation,sinkhorn_4.0_training,sinkhorn_4.0_validation,sinkhorn_5.0_training,sinkhorn_5.0_validation,sinkhorn_6.0_training,sinkhorn_6.0_validation,sinkhorn_7.0_training,sinkhorn_7.0_validation,sinkhorn_8.0_training,sinkhorn_8.0_validation,sinkhorn_9.0_training,sinkhorn_9.0_validation,step,total_epochs,velo_f_0.0_training,velo_f_0.0_validation,velo_f_1.0_training,velo_f_1.0_validation,velo_f_10.0_training,velo_f_10.0_validation,velo_f_2.0_training,velo_f_2.0_validation,velo_f_3.0_training,velo_f_3.0_validation,velo_f_4.0_training,velo_f_4.0_validation,velo_f_5.0_training,velo_f_5.0_validation,velo_f_6.0_training,velo_f_6.0_validation,velo_f_7.0_training,velo_f_7.0_validation,velo_f_8.0_training,velo_f_8.0_validation,velo_f_9.0_training,velo_f_9.0_validation,velo_g_0.0_training,velo_g_0.0_validation,velo_g_1.0_training,velo_g_1.0_validation,velo_g_10.0_training,velo_g_10.0_validation,velo_g_2.0_training,velo_g_2.0_validation,velo_g_3.0_training,velo_g_3.0_validation,velo_g_4.0_training,velo_g_4.0_validation,velo_g_5.0_training,velo_g_5.0_validation,velo_g_6.0_training,velo_g_6.0_validation,velo_g_7.0_training,velo_g_7.0_validation,velo_g_8.0_training,velo_g_8.0_validation,velo_g_9.0_training,velo_g_9.0_validation,velo_ratio_0.0_training,velo_ratio_0.0_validation,velo_ratio_1.0_training,velo_ratio_1.0_validation,velo_ratio_10.0_training,velo_ratio_10.0_validation,velo_ratio_2.0_training,velo_ratio_2.0_validation,velo_ratio_3.0_training,velo_ratio_3.0_validation,velo_ratio_4.0_training,velo_ratio_4.0_validation,velo_ratio_5.0_training,velo_ratio_5.0_validation,velo_ratio_6.0_training,velo_ratio_6.0_validation,velo_ratio_7.0_training,velo_ratio_7.0_validation,velo_ratio_8.0_training,velo_ratio_8.0_validation,velo_ratio_9.0_training,velo_ratio_9.0_validation
0,,,9.999999747378752e-05,0.0,,88.66360473632812,,192.17507934570312,,96.7981948852539,,103.20362854003906,,126.03368377685547,,124.60356903076172,,131.65821838378906,,156.20327758789062,,188.22412109375,,161.52813720703125,,0,0.0,0.01124231331050396,,0.011136377230286598,,0.010755213908851147,,0.011044682934880257,,0.010996446013450623,,0.01095935795456171,,0.010907973162829876,,0.010835294611752033,,0.010797766037285328,,0.010765748098492622,,0.010792453773319721,,1.4442174434661865,,1.4426043033599854,,1.461295485496521,,1.4443321228027344,,1.446094274520874,,1.448583960533142,,1.4513535499572754,,1.4547197818756104,,1.456864833831787,,1.4570002555847168,,1.4584786891937256,,621.1138916015625,,621.1461791992188,,621.325439453125,,621.1824340820312,,621.2037353515625,,621.2229614257812,,621.247802734375,,621.2813110351562,,621.2996215820312,,621.3109741210938,,621.3055419921875,
0,,,9.999999747378752e-05,0.0,,84.81198120117188,,189.0276641845703,,97.24657440185547,,103.54086303710938,,123.99798583984375,,128.29989624023438,,140.97909545898438,,152.54779052734375,,194.40658569335938,,165.8701171875,,1,0.0,0.021107971668243408,,0.020865194499492645,,0.02006838098168373,,0.020811818540096283,,0.020686207339167595,,0.020581087097525597,,0.020500829443335533,,0.02041642926633358,,0.020356280729174614,,0.020259318873286247,,0.02021981030702591,,1.374366283416748,,1.3707457780838013,,1.3526990413665771,,1.3670196533203125,,1.3651666641235352,,1.3620636463165283,,1.3602323532104492,,1.3581249713897705,,1.356083631515503,,1.3547494411468506,,1.3519060611724854,,617.3443603515625,,617.4122314453125,,617.6041259765625,,617.4110717773438,,617.446533203125,,617.4677124023438,,617.4868774414062,,617.5062255859375,,617.5169677734375,,617.545166015625,,617.5441284179688,
0,,,9.999999747378752e-05,0.0,,87.81300354003906,,176.81825256347656,,97.97647094726562,,99.65533447265625,,117.42020416259766,,120.66409301757812,,143.5349884033203,,161.94630432128906,,183.03076171875,,153.6953887939453,,2,0.0,0.029901957139372826,,0.03000117838382721,,0.028890132904052734,,0.029945451766252518,,0.029883602634072304,,0.0297382902354002,,0.029748940840363503,,0.029682887718081474,,0.029430359601974487,,0.02915170229971409,,0.028974367305636406,,1.2787041664123535,,1.271472692489624,,1.2220157384872437,,1.2640314102172852,,1.2561759948730469,,1.2510488033294678,,1.2454986572265625,,1.2389835119247437,,1.232752799987793,,1.2284547090530396,,1.2254287004470825,,613.3624267578125,,613.2578735351562,,613.2352294921875,,613.2109375,,613.1619262695312,,613.1712036132812,,613.1143798828125,,613.07861328125,,613.1200561523438,,613.191162109375,,613.2338256835938,
0,,2763.00439453125,9.999999747378752e-05,,0.0,,148.36431884765625,,429.325439453125,,158.71163940429688,,255.39239501953125,,275.116943359375,,258.4114990234375,,319.93701171875,,274.5270080566406,,295.95220947265625,,347.2658386230469,2,0.0,,0.03707139566540718,,0.03870837762951851,,0.036099325865507126,,0.03856427222490311,,0.03867226466536522,,0.03895537182688713,,0.03926647827029228,,0.038851696997880936,,0.038267187774181366,,0.037188537418842316,,0.03652940317988396,,0.8504858613014221,,0.8525840044021606,,0.8529561161994934,,0.85102778673172,,0.8501371145248413,,0.8491353988647461,,0.8491966724395752,,0.8498674631118774,,0.8509659171104431,,0.8523097038269043,,0.8540002703666687,,603.3958129882812,,602.5054321289062,,604.0177612304688,,602.5478515625,,602.462158203125,,602.272216796875,,602.093994140625,,602.3514404296875,,602.7177124023438,,603.3740234375,,603.7957763671875
0,1364.125,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,9.999999747378752e-05,0.0,,87.15838623046875,,170.95828247070312,,97.33912658691406,,102.70941162109375,,124.6537094116211,,123.9776611328125,,132.87840270996094,,149.02122497558594,,169.31517028808594,,149.97903442382812,,3,1.0,0.03789034113287926,,0.03828395903110504,,0.03713437542319298,,0.03836246579885483,,0.038469940423965454,,0.038725923746824265,,0.03865446522831917,,0.03823499009013176,,0.03809039667248726,,0.03783876448869705,,0.03761174902319908,,1.2476704120635986,,1.2365117073059082,,1.1636784076690674,,1.2265474796295166,,1.217682123184204,,1.2082518339157104,,1.1990190744400024,,1.190753698348999,,1.184187412261963,,1.1759724617004395,,1.1704578399658203,,609.9078369140625,,609.615234375,,609.146240234375,,609.45947265625,,609.3034057617188,,609.0771484375,,608.9846801757812,,609.0481567382812,,609.0205688476562,,609.0152587890625,,609.0361328125,
1,,,9.999999747378752e-05,0.0,,102.29466247558594,,156.8924560546875,,119.20207214355469,,118.95338439941406,,133.34823608398438,,120.55108642578125,,135.3004913330078,,138.2137451171875,,170.29571533203125,,136.97824096679688,,4,1.0,0.04552506282925606,,0.04626157507300377,,0.04563969373703003,,0.0463867224752903,,0.04707137867808342,,0.047074317932128906,,0.04706134274601936,,0.04703075811266899,,0.046551287174224854,,0.04619066044688225,,0.045951057225465775,,1.2889562845230103,,1.2716426849365234,,1.1470649242401123,,1.2543566226959229,,1.2379765510559082,,1.2247028350830078,,1.2111399173736572,,1.1971620321273804,,1.181769609451294,,1.1686232089996338,,1.1579666137695312,,607.465087890625,,606.942626953125,,605.26416015625,,606.6465454101562,,606.1331787109375,,605.9290161132812,,605.7224731445312,,605.5117797851562,,605.4595336914062,,605.3933715820312,,605.316162109375,
1,,,9.999999747378752e-05,0.0,,90.47895050048828,,157.493896484375,,99.66629028320312,,101.43965911865234,,118.96682739257812,,124.35157775878906,,123.58830261230469,,126.86585998535156,,167.51699829101562,,134.44976806640625,,5,1.0,0.05175711587071419,,0.053099412471055984,,0.05287656933069229,,0.054046399891376495,,0.05501074716448784,,0.05520331859588623,,0.05513707548379898,,0.05490148812532425,,0.05418568477034569,,0.053662896156311035,,0.053097911179065704,,1.2152477502822876,,1.1944698095321655,,1.049329161643982,,1.1756176948547363,,1.1569578647613525,,1.1400096416473389,,1.1221891641616821,,1.10628342628479,,1.0915493965148926,,1.0767590999603271,,1.0618584156036377,,603.8865356445312,,602.970458984375,,600.0585327148438,,602.2249145507812,,601.4521484375,,601.022705078125,,600.6746215820312,,600.4327392578125,,600.4258422851562,,600.3297119140625,,600.2476806640625,
1,,1257.6241455078125,9.999999747378752e-05,,,,0.0,,168.30465698242188,,126.30043029785156,,77.72361755371094,,104.54826354980469,,150.4634552001953,,136.14028930664062,,137.93316650390625,,189.88351440429688,,166.3267822265625,5,1.0,,,,0.059999268501996994,,0.05903349071741104,,0.0603976845741272,,0.06099379062652588,,0.06117142364382744,,0.06126536428928375,,0.06084389612078667,,0.060321129858493805,,0.05953299626708031,,0.05910108610987663,,,,1.0089846849441528,,0.9298674464225769,,0.9985745549201965,,0.9866331219673157,,0.9752078652381897,,0.9656939506530762,,0.9554998278617859,,0.9485024809837341,,0.9417192339897156,,0.9355284571647644,,,,595.6211547851562,,593.6600952148438,,595.1238403320312,,594.47216796875,,594.0302124023438,,593.681640625,,593.5667114257812,,593.6063232421875,,593.7909545898438,,593.8120727539062
1,1294.9461669921875,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
