epoch,epoch_train_loss,epoch_validation_loss,opt_param_group_lr,sinkhorn_0.0_training,sinkhorn_0.0_validation,sinkhorn_3.0_training,sinkhorn_3.0_validation,sinkhorn_5.0_training,sinkhorn_5.0_validation,step,total_epochs,velo_f_0.0_training,velo_f_0.0_validation,velo_f_3.0_training,velo_f_3.0_validation,velo_f_5.0_training,velo_f_5.0_validation,velo_g_0.0_training,velo_g_0.0_validation,velo_g_3.0_training,velo_g_3.0_validation,velo_g_5.0_training,velo_g_5.0_validation,velo_ratio_0.0_training,velo_ratio_0.0_validation,velo_ratio_3.0_training,velo_ratio_3.0_validation,velo_ratio_5.0_training,velo_ratio_5.0_validation
0,,,3.9999998989515007e-05,0.0,,736.3609008789062,,998.2423706054688,,0,0.0,0.010052121244370937,,0.010034814476966858,,0.010014903731644154,,2.9827020168304443,,3.0098862648010254,,3.033906936645508,,623.3161010742188,,623.3340454101562,,623.3506469726562,
0,,,3.9999998989515007e-05,0.0,,732.666748046875,,997.51953125,,1,0.0,0.011073129251599312,,0.011005781590938568,,0.010981290601193905,,2.8993093967437744,,2.9107298851013184,,2.9243714809417725,,623.0918579101562,,623.11083984375,,623.1239013671875,
0,,,3.9999998989515007e-05,0.0,,675.7650756835938,,960.245849609375,,2,0.0,0.012804925441741943,,0.01270747184753418,,0.012662412598729134,,2.7806334495544434,,2.7811460494995117,,2.7837061882019043,,622.6995849609375,,622.7175903320312,,622.7276611328125,
0,,,3.9999998989515007e-05,0.0,,715.9827270507812,,993.9386596679688,,3,0.0,0.014444760046899319,,0.014359324239194393,,0.01432723831385374,,2.8247203826904297,,2.8248558044433594,,2.8265340328216553,,622.44580078125,,622.4609375,,622.4682006835938,
0,,,3.9999998989515007e-05,0.0,,697.284912109375,,945.9259643554688,,4,0.0,0.016450360417366028,,0.016299143433570862,,0.016240503638982773,,2.6954293251037598,,2.689758539199829,,2.6876630783081055,,621.9522094726562,,621.973876953125,,621.9822998046875,
0,,,3.9999998989515007e-05,0.0,,737.3936157226562,,972.9913330078125,,5,0.0,0.018309777602553368,,0.018198400735855103,,0.018125656992197037,,2.69558048248291,,2.6895928382873535,,2.683532238006592,,621.6083374023438,,621.6213989257812,,621.6273803710938,
0,,,3.9999998989515007e-05,0.0,,754.6373901367188,,956.6151123046875,,6,0.0,0.020216554403305054,,0.020060371607542038,,0.019995523616671562,,2.6757473945617676,,2.655205488204956,,2.648451805114746,,621.2279663085938,,621.2282104492188,,621.230712890625,
0,,,3.9999998989515007e-05,0.0,,742.4583129882812,,958.3134765625,,7,0.0,0.02217637561261654,,0.02203189581632614,,0.02196761779487133,,2.655439615249634,,2.640169143676758,,2.6234614849090576,,620.831298828125,,620.8345336914062,,620.8203125,
0,,,3.9999998989515007e-05,0.0,,694.3201904296875,,951.7019653320312,,8,0.0,0.024215469136834145,,0.024066267535090446,,0.023992139846086502,,2.602541923522949,,2.5813989639282227,,2.5637643337249756,,620.3564453125,,620.3472900390625,,620.3296508789062,
0,,,3.9999998989515007e-05,0.0,,740.4169921875,,986.0402221679688,,9,0.0,0.02615118958055973,,0.02596789039671421,,0.025900254026055336,,2.614168167114258,,2.57979679107666,,2.565675735473633,,620.0082397460938,,619.9772338867188,,619.9627685546875,
0,,,3.9999998989515007e-05,0.0,,735.2863159179688,,978.0570068359375,,10,0.0,0.02797885611653328,,0.02783345617353916,,0.027741027995944023,,2.600240707397461,,2.570875883102417,,2.5511558055877686,,619.6315307617188,,619.5985107421875,,619.574951171875,
0,,,3.9999998989515007e-05,0.0,,711.3704223632812,,956.9764404296875,,11,0.0,0.029932845383882523,,0.02978358045220375,,0.029701590538024902,,2.5175399780273438,,2.4809696674346924,,2.4619860649108887,,619.0692749023438,,619.011962890625,,618.9825439453125,
0,,,3.9999998989515007e-05,0.0,,726.6614990234375,,940.01171875,,12,0.0,0.03188302740454674,,0.03176068142056465,,0.031654488295316696,,2.5445361137390137,,2.508780002593994,,2.4902353286743164,,618.7506713867188,,618.6861572265625,,618.660400390625,
0,,,3.9999998989515007e-05,0.0,,727.9593505859375,,976.4501342773438,,13,0.0,0.03382530435919762,,0.033643003553152084,,0.033532049506902695,,2.527803897857666,,2.483924627304077,,2.462480068206787,,618.3272705078125,,618.2461547851562,,618.2098999023438,
0,,,3.9999998989515007e-05,0.0,,684.7540283203125,,948.908935546875,,14,0.0,0.03571295738220215,,0.03553137555718422,,0.03542952239513397,,2.5105767250061035,,2.46635103225708,,2.444790840148926,,617.90771484375,,617.8175659179688,,617.7750854492188,
0,,1345.084228515625,3.9999998989515007e-05,,0.0,,592.1026611328125,,757.5918579101562,14,0.0,,0.038211967796087265,,0.03793008625507355,,0.03780852258205414,,2.0770263671875,,2.0241854190826416,,1.9914761781692505,,615.835205078125,,615.6658325195312,,615.5435180664062
0,1689.0172119140625,,,,,,,,,14,,,,,,,,,,,,,,,,,,,
1,,,3.9999998989515007e-05,0.0,,705.2001953125,,924.6468505859375,,15,1.0,0.03745695948600769,,0.03728173300623894,,0.03715765103697777,,2.4834179878234863,,2.4457201957702637,,2.414884567260742,,617.4813232421875,,617.4013671875,,617.3302612304688,
1,,,3.9999998989515007e-05,0.0,,676.455078125,,903.8079833984375,,16,1.0,0.03924733027815819,,0.03904654458165169,,0.038934096693992615,,2.4605722427368164,,2.412074089050293,,2.386776924133301,,617.0502319335938,,616.9322509765625,,616.8704223632812,
1,,,3.9999998989515007e-05,0.0,,679.0858154296875,,914.7714233398438,,17,1.0,0.040967196226119995,,0.04078938439488411,,0.04066328704357147,,2.474236488342285,,2.424363136291504,,2.3897557258605957,,616.7486572265625,,616.615966796875,,616.5211181640625,
1,,,3.9999998989515007e-05,0.0,,729.9024658203125,,911.8163452148438,,18,1.0,0.04269176721572876,,0.04245216026902199,,0.04231228679418564,,2.4293909072875977,,2.374738931655884,,2.3390817642211914,,616.2443237304688,,616.0936279296875,,615.988037109375,
1,,,3.9999998989515007e-05,0.0,,721.1666259765625,,929.865966796875,,19,1.0,0.044480182230472565,,0.04418595880270004,,0.04402187466621399,,2.3997883796691895,,2.347221851348877,,2.309110164642334,,615.7667846679688,,615.623046875,,615.504150390625,
