epoch,epoch_train_loss,epoch_validation_loss,opt_param_group_lr,sinkhorn_0.0_training,sinkhorn_0.0_validation,sinkhorn_1.0_training,sinkhorn_1.0_validation,sinkhorn_10.0_training,sinkhorn_10.0_validation,sinkhorn_2.0_training,sinkhorn_2.0_validation,sinkhorn_3.0_training,sinkhorn_3.0_validation,sinkhorn_4.0_training,sinkhorn_4.0_validation,sinkhorn_5.0_training,sinkhorn_5.0_validation,sinkhorn_6.0_training,sinkhorn_6.0_validation,sinkhorn_7.0_training,sinkhorn_7.0_validation,sinkhorn_8.0_training,sinkhorn_8.0_validation,sinkhorn_9.0_training,sinkhorn_9.0_validation,step,total_epochs,velo_f_0.0_training,velo_f_0.0_validation,velo_f_1.0_training,velo_f_1.0_validation,velo_f_10.0_training,velo_f_10.0_validation,velo_f_2.0_training,velo_f_2.0_validation,velo_f_3.0_training,velo_f_3.0_validation,velo_f_4.0_training,velo_f_4.0_validation,velo_f_5.0_training,velo_f_5.0_validation,velo_f_6.0_training,velo_f_6.0_validation,velo_f_7.0_training,velo_f_7.0_validation,velo_f_8.0_training,velo_f_8.0_validation,velo_f_9.0_training,velo_f_9.0_validation,velo_g_0.0_training,velo_g_0.0_validation,velo_g_1.0_training,velo_g_1.0_validation,velo_g_10.0_training,velo_g_10.0_validation,velo_g_2.0_training,velo_g_2.0_validation,velo_g_3.0_training,velo_g_3.0_validation,velo_g_4.0_training,velo_g_4.0_validation,velo_g_5.0_training,velo_g_5.0_validation,velo_g_6.0_training,velo_g_6.0_validation,velo_g_7.0_training,velo_g_7.0_validation,velo_g_8.0_training,velo_g_8.0_validation,velo_g_9.0_training,velo_g_9.0_validation,velo_ratio_0.0_training,velo_ratio_0.0_validation,velo_ratio_1.0_training,velo_ratio_1.0_validation,velo_ratio_10.0_training,velo_ratio_10.0_validation,velo_ratio_2.0_training,velo_ratio_2.0_validation,velo_ratio_3.0_training,velo_ratio_3.0_validation,velo_ratio_4.0_training,velo_ratio_4.0_validation,velo_ratio_5.0_training,velo_ratio_5.0_validation,velo_ratio_6.0_training,velo_ratio_6.0_validation,velo_ratio_7.0_training,velo_ratio_7.0_validation,velo_ratio_8.0_training,velo_ratio_8.0_validation,velo_ratio_9.0_training,velo_ratio_9.0_validation
2,,,9.999999747378752e-05,0.0,,115.35550689697266,,268.5115051269531,,117.2745132446289,,120.45629119873047,,134.1204833984375,,133.7858123779297,,138.99200439453125,,143.92543029785156,,188.31842041015625,,249.20419311523438,,6,2.0,0.05119389295578003,,0.05169069766998291,,0.04988541826605797,,0.053052809089422226,,0.05418779328465462,,0.05492708832025528,,0.05457185581326485,,0.053703129291534424,,0.052377570420503616,,0.051518764346838,,0.05055784061551094,,0.8764188289642334,,0.8617229461669922,,0.8439498543739319,,0.8471031188964844,,0.8355467319488525,,0.8271173238754272,,0.8232262134552002,,0.8219993114471436,,0.8243917226791382,,0.8302213549613953,,0.8393074870109558,,596.1349487304688,,595.3671264648438,,595.794677734375,,594.0779418945312,,592.9939575195312,,592.237060546875,,592.2943725585938,,592.7606201171875,,593.6362915039062,,594.3580322265625,,595.2440185546875,
2,,,9.999999747378752e-05,0.0,,123.44918823242188,,258.68780517578125,,116.3143310546875,,119.28916931152344,,131.03744506835938,,131.52127075195312,,132.65957641601562,,146.3260498046875,,193.47305297851562,,239.59548950195312,,7,2.0,0.05719096586108208,,0.05774408578872681,,0.05566812679171562,,0.05959601327776909,,0.06111950799822807,,0.06184203550219536,,0.06122288107872009,,0.059995826333761215,,0.05849454551935196,,0.05740460753440857,,0.0564524307847023,,0.8421480059623718,,0.8255131244659424,,0.8032512664794922,,0.8102495670318604,,0.7969676852226257,,0.7889917492866516,,0.7849410772323608,,0.7842962741851807,,0.7840754985809326,,0.7888263463973999,,0.7960805892944336,,591.5057373046875,,590.5145874023438,,590.8285522460938,,588.7647094726562,,587.2431640625,,586.423828125,,586.6099853515625,,587.3369750976562,,588.2549438476562,,589.1434936523438,,590.0464477539062,
2,,,9.999999747378752e-05,0.0,,115.49954986572266,,272.82806396484375,,114.19674682617188,,114.17131042480469,,127.60038757324219,,127.51085662841797,,139.80274963378906,,169.39132690429688,,192.1304931640625,,238.72181701660156,,8,2.0,0.06268056482076645,,0.06386074423789978,,0.06147236377000809,,0.0662224143743515,,0.06793212890625,,0.06816329807043076,,0.0671781525015831,,0.06550731509923935,,0.06399977952241898,,0.06303199380636215,,0.06237776204943657,,0.8048005104064941,,0.7847801446914673,,0.7648453116416931,,0.7696044445037842,,0.7561548948287964,,0.7467865347862244,,0.7404391169548035,,0.7383915185928345,,0.742440402507782,,0.7491871118545532,,0.7565240859985352,,586.6649780273438,,584.97509765625,,585.4597778320312,,582.7166748046875,,580.8875732421875,,580.1953735351562,,580.45947265625,,581.4288940429688,,582.6421508789062,,583.6409301757812,,584.453369140625,
2,,3222.27783203125,9.999999747378752e-05,,0.0,,336.045654296875,,247.94505310058594,,360.9987487792969,,353.30181884765625,,339.5897521972656,,356.5513916015625,,380.1363220214844,,306.3239440917969,,286.28582763671875,,255.09939575195312,8,2.0,,0.06025191769003868,,0.061897844076156616,,0.061157792806625366,,0.06240659952163696,,0.06268628686666489,,0.06177392601966858,,0.06090153381228447,,0.059436675161123276,,0.061129312962293625,,0.061664748936891556,,0.06083468347787857,,0.7453899383544922,,0.7330501675605774,,0.7125781774520874,,0.7238250374794006,,0.7170172929763794,,0.7117042541503906,,0.707201361656189,,0.7045153975486755,,0.7041274309158325,,0.7048926949501038,,0.707911491394043,,585.2369995117188,,583.4935913085938,,582.823486328125,,582.6343994140625,,582.0511474609375,,582.354736328125,,582.6834716796875,,583.5291137695312,,582.3458862304688,,582.0247802734375,,582.7708129882812
2,1604.716796875,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,9.999999747378752e-05,0.0,,123.54911804199219,,247.94192504882812,,132.54258728027344,,142.97769165039062,,152.50917053222656,,150.46316528320312,,146.65106201171875,,139.97152709960938,,176.03761291503906,,223.8070068359375,,9,3.0,0.06623240560293198,,0.06838179379701614,,0.06801267713308334,,0.07153987139463425,,0.07415837049484253,,0.07454286515712738,,0.07312914729118347,,0.07123275846242905,,0.07028647512197495,,0.06980185955762863,,0.06891319900751114,,0.7872246503829956,,0.7603305578231812,,0.7178176641464233,,0.7374379634857178,,0.7175025939941406,,0.7023762464523315,,0.6944677233695984,,0.6947539448738098,,0.6973176002502441,,0.7004458904266357,,0.7077789902687073,,583.6408081054688,,580.8403930664062,,578.5231323242188,,577.4354248046875,,574.3900756835938,,573.0615234375,,573.4576416015625,,574.7864990234375,,575.6182250976562,,576.1663208007812,,577.2653198242188,
3,,,9.999999747378752e-05,0.0,,121.61212158203125,,267.9063415527344,,136.08792114257812,,144.1884307861328,,153.3897247314453,,148.9889678955078,,152.25892639160156,,148.76602172851562,,178.409423828125,,238.27980041503906,,10,3.0,0.07058759778738022,,0.07350943237543106,,0.07499808073043823,,0.07722195237874985,,0.08030533790588379,,0.08050233125686646,,0.07912692427635193,,0.077605240046978,,0.07704229652881622,,0.07623553276062012,,0.07508204877376556,,0.7673182487487793,,0.7381414771080017,,0.691370964050293,,0.7127909064292908,,0.6932084560394287,,0.6765027046203613,,0.6669809818267822,,0.6676137447357178,,0.6700437664985657,,0.6733776330947876,,0.6814224720001221,,579.8499755859375,,576.1981201171875,,571.9380493164062,,572.0050048828125,,568.4190673828125,,566.9171142578125,,567.0901489257812,,568.2299194335938,,568.8316040039062,,569.6749877929688,,571.1219482421875,
3,,,9.999999747378752e-05,0.0,,122.39059448242188,,263.96368408203125,,129.01229858398438,,146.6092529296875,,151.83139038085938,,152.73094177246094,,146.94094848632812,,155.5791015625,,184.72409057617188,,237.49176025390625,,11,3.0,0.07557877153158188,,0.07842811942100525,,0.08246497809886932,,0.08314817398786545,,0.08692391216754913,,0.08695237338542938,,0.08567621558904648,,0.08506656438112259,,0.08409754931926727,,0.08288692682981491,,0.08261210471391678,,0.7508713006973267,,0.7176119089126587,,0.6687549352645874,,0.690920352935791,,0.6696410179138184,,0.6517269611358643,,0.6416101455688477,,0.6404906511306763,,0.6408477425575256,,0.6453903317451477,,0.6557756066322327,,575.6857299804688,,571.5492553710938,,564.8649291992188,,566.2761840820312,,561.7816162109375,,560.0709228515625,,560.0164794921875,,560.356689453125,,561.1077270507812,,562.434814453125,,563.5989379882812,
3,,1866.880126953125,9.999999747378752e-05,,,,0.0,,377.1632995605469,,85.02847290039062,,124.15514373779297,,136.4246063232422,,101.59391784667969,,124.5851821899414,,267.91650390625,,321.0437927246094,,328.96923828125,11,3.0,,,,0.08856255561113358,,0.08695884048938751,,0.08944045007228851,,0.09064052253961563,,0.09059041738510132,,0.0904407724738121,,0.08999098837375641,,0.08966269344091415,,0.08905345946550369,,0.08809518069028854,,,,0.8336473107337952,,0.7903677821159363,,0.8006777763366699,,0.7756848931312561,,0.7604193687438965,,0.7541941404342651,,0.7535090446472168,,0.7589943408966064,,0.7653013467788696,,0.7767677307128906,,,,573.0110473632812,,571.1989135742188,,570.394775390625,,567.9392700195312,,566.8530883789062,,566.4794311523438,,566.7117309570312,,567.3287963867188,,568.1720581054688,,569.5799560546875
3,1672.53759765625,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,9.999999747378752e-05,0.0,,112.97553253173828,,271.68902587890625,,118.19447326660156,,117.1795654296875,,124.81168365478516,,128.3006134033203,,141.43817138671875,,172.05227661132812,,196.05950927734375,,228.72286987304688,,12,4.0,0.08151029795408249,,0.08446748554706573,,0.08870232105255127,,0.08913170546293259,,0.09251901507377625,,0.09232038259506226,,0.09110071510076523,,0.0905759260058403,,0.08985520899295807,,0.08925598859786987,,0.08940079063177109,,0.7219328284263611,,0.6969138979911804,,0.679538369178772,,0.6764845848083496,,0.6609840393066406,,0.64875328540802,,0.6449712514877319,,0.6455723643302917,,0.6499846577644348,,0.6561664342880249,,0.665747880935669,,569.8218994140625,,565.867919921875,,561.437255859375,,560.857421875,,556.973388671875,,555.872802734375,,556.3712158203125,,556.8168334960938,,557.7901000976562,,558.837158203125,,559.6602172851562,
