velo_g_4.0_training,step,velo_g_7.0_training,velo_f_7.0_training,sinkhorn_7.0_training,total_epochs,velo_f_4.0_training,sinkhorn_4.0_training,velo_ratio_7.0_training,epoch,velo_ratio_4.0_training,opt_param_group_lr,velo_f_4.0_validation,velo_f_7.0_validation,sinkhorn_7.0_validation,epoch_validation_loss,velo_g_4.0_validation,velo_ratio_7.0_validation,velo_g_7.0_validation,velo_ratio_4.0_validation,sinkhorn_4.0_validation,epoch_train_loss
1.4003098011016846,0,1.425845980644226,0.00923439022153616,125.51051330566406,0.0,0.009223992936313152,0.0,621.7659912109375,0,621.7108154296875,9.999999747378752e-05,,,,,,,,,,
1.0344117879867554,1,1.0244381427764893,0.01699046604335308,199.81637573242188,0.0,0.017007216811180115,0.0,616.7349243164062,0,616.8063354492188,9.999999747378752e-05,,,,,,,,,,
,1,,,,0.0,,,,0,,9.999999747378752e-05,0.023867791518568993,0.023553650826215744,155.1750946044922,142.2218475341797,1.3514810800552368,616.2938232421875,1.3479868173599243,616.2001953125,0.0,
,1,,,,,,,,0,,,,,,,,,,,,162.6634521484375
1.3141188621520996,2,1.3255577087402344,0.023802701383829117,123.21491241455078,1.0,0.024037029594182968,0.0,616.0538940429688,1,615.8877563476562,9.999999747378752e-05,,,,,,,,,,
,2,,,,1.0,,,,1,,9.999999747378752e-05,0.032622694969177246,0.03203831613063812,148.2109375,142.4347381591797,1.278842806816101,612.437744140625,1.269049882888794,612.2989501953125,0.0,
,2,,,,,,,,1,,,,,,,,,,,,123.21491241455078
1.2845256328582764,3,1.2929598093032837,0.032314278185367584,125.99790954589844,2.0,0.03283151984214783,0.0,612.5662231445312,2,612.2857666015625,9.999999747378752e-05,,,,,,,,,,
,3,,,,2.0,,,,2,,9.999999747378752e-05,0.04071610048413277,0.03984764590859413,149.68177795410156,135.31166076660156,1.20631742477417,608.5267944335938,1.202480435371399,608.2192993164062,0.0,
,3,,,,,,,,2,,,,,,,,,,,,125.99790954589844
1.239429235458374,4,1.2375507354736328,0.03994350880384445,123.8115234375,3.0,0.04080779477953911,0.0,608.9661254882812,3,608.6460571289062,9.999999747378752e-05,,,,,,,,,,
,4,,,,3.0,,,,3,,9.999999747378752e-05,0.04893080145120621,0.04741798713803291,129.75921630859375,129.75921630859375,1.175478219985962,604.9149780273438,1.1708731651306152,604.3601684570312,0.0,
,4,,,,,,,,3,,,,,,,,,,,,123.8115234375
1.2088978290557861,5,1.2038472890853882,0.04720090702176094,124.5595703125,4.0,0.048464469611644745,0.0,605.5494995117188,4,605.1157836914062,9.999999747378752e-05,,,,,,,,,,
,5,,,,4.0,,,,4,,0.00010000000474974513,0.05592586100101471,0.05406400188803673,145.26219177246094,122.66914367675781,1.1642507314682007,601.802734375,1.1554555892944336,601.1804809570312,0.0,
,5,,,,,,,,4,,,,,,,,,,,,124.5595703125
1.1913071870803833,6,1.1819058656692505,0.05421290919184685,127.04125213623047,5.0,0.05589479207992554,0.0,602.27587890625,5,601.7607421875,9.999999747378752e-05,,,,,,,,,,
,6,,,,5.0,,,,5,,9.999999747378752e-05,0.06358703970909119,0.06115690991282463,153.7857666015625,124.4183578491211,1.1240811347961426,597.76806640625,1.1139614582061768,596.9486083984375,0.0,
,6,,,,,,,,5,,,,,,,,,,,,127.04125213623047
1.1575214862823486,7,1.1411985158920288,0.06095965579152107,125.89762115478516,6.0,0.06332969665527344,0.0,598.5767211914062,6,597.9435424804688,9.999999747378752e-05,,,,,,,,,,
,7,,,,6.0,,,,6,,9.999999747378752e-05,0.07028719037771225,0.0669916495680809,137.73538208007812,137.73538208007812,1.178606390953064,596.3838500976562,1.156967282295227,595.5377197265625,0.0,
,7,,,,,,,,6,,,,,,,,,,,,125.89762115478516
1.1244653463363647,8,1.1062054634094238,0.06767996400594711,123.4752197265625,7.0,0.07057669013738632,0.0,594.7833251953125,7,594.0116577148438,9.999999747378752e-05,,,,,,,,,,
,8,,,,7.0,,,,7,,0.00010000000474974513,0.07739280164241791,0.07467290759086609,156.6268310546875,166.1031951904297,1.0438002347946167,589.2623291015625,1.0295979976654053,588.47705078125,0.0,
,8,,,,,,,,7,,,,,,,,,,,,123.4752197265625
1.1169602870941162,9,1.093173623085022,0.07440561801195145,124.68034362792969,8.0,0.07777011394500732,0.0,591.4312744140625,8,590.6715087890625,9.999999747378752e-05,,,,,,,,,,
,9,,,,8.0,,,,8,,0.00010000000474974513,0.08551640063524246,0.08172373473644257,136.01995849609375,151.18243408203125,1.0726885795593262,586.6388549804688,1.0486078262329102,585.7697143554688,0.0,
,9,,,,,,,,8,,,,,,,,,,,,124.68034362792969
1.0828335285186768,10,1.0573911666870117,0.08123648166656494,124.170654296875,9.0,0.08509492129087448,0.0,587.1766357421875,9,586.3248901367188,9.999999747378752e-05,,,,,,,,,,
,10,,,,9.0,,,,9,,9.999999747378752e-05,0.09252364188432693,0.08867951482534409,161.13270568847656,147.8831787109375,1.1235060691833496,584.8477172851562,1.0870591402053833,584.468017578125,0.0,
,10,,,,,,,,9,,,,,,,,,,,,124.170654296875
1.074227213859558,11,1.0434049367904663,0.08839862793684006,124.767333984375,10.0,0.09226097911596298,0.0,583.3571166992188,10,582.7946166992188,9.999999747378752e-05,,,,,,,,,,
0.9809949994087219,12,1.0055822134017944,0.0942889079451561,173.88482666015625,10.0,0.09971674531698227,0.0,578.9964599609375,10,575.2089233398438,9.999999747378752e-05,,,,,,,,,,
,12,,,,10.0,,,,10,,9.999999747378752e-05,0.10592226684093475,0.10117896646261215,145.36627197265625,138.5194091796875,1.0627163648605347,576.5997314453125,1.0246020555496216,576.1575317382812,0.0,
,12,,,,,,,,10,,,,,,,,,,,,149.32608032226562
1.0474773645401,13,1.0132670402526855,0.1008705124258995,126.34318542480469,11.0,0.10552976280450821,0.0,576.2161254882812,11,575.6416625976562,9.999999747378752e-05,,,,,,,,,,
,13,,,,11.0,,,,11,,9.999999747378752e-05,0.11192385107278824,0.10797258466482162,144.1494598388672,121.91079711914062,1.0333200693130493,571.8922729492188,0.9944735765457153,572.0072631835938,0.0,
,13,,,,,,,,11,,,,,,,,,,,,126.34318542480469
1.0277844667434692,14,0.992601752281189,0.10883577167987823,126.80411529541016,12.0,0.11296602338552475,0.0,571.3787231445312,12,571.2520141601562,9.999999747378752e-05,,,,,,,,,,
,14,,,,12.0,,,,12,,9.999999747378752e-05,0.11929937452077866,0.11653315275907516,141.31121826171875,141.31121826171875,1.043309211730957,568.0142211914062,0.9986112117767334,569.134033203125,0.0,
,14,,,,,,,,12,,,,,,,,,,,,126.80411529541016
1.0079618692398071,15,0.9703035354614258,0.11657066643238068,124.7235336303711,13.0,0.12025002390146255,0.0,566.3740844726562,13,566.773193359375,9.999999747378752e-05,,,,,,,,,,
,15,,,,13.0,,,,13,,9.999999747378752e-05,0.12845070660114288,0.12417759001255035,147.80162048339844,135.26895141601562,0.9727981686592102,560.8624267578125,0.9425498843193054,560.7210083007812,0.0,
,15,,,,,,,,13,,,,,,,,,,,,124.7235336303711
1.0073497295379639,16,0.9629054069519043,0.12462400645017624,124.89579772949219,14.0,0.1275513470172882,0.0,561.9625854492188,14,563.2929077148438,9.999999747378752e-05,,,,,,,,,,
,16,,,,14.0,,,,14,,9.999999747378752e-05,0.13530798256397247,0.13283497095108032,129.53067016601562,116.95729064941406,0.92817223072052,552.8094482421875,0.8927401304244995,554.2357177734375,0.0,
,16,,,,,,,,14,,,,,,,,,,,,124.89579772949219
0.9838546514511108,17,0.9395939707756042,0.13331127166748047,125.52180480957031,15.0,0.1351170837879181,0.0,556.0722045898438,15,558.2189331054688,9.999999747378752e-05,,,,,,,,,,
,17,,,,15.0,,,,15,,9.999999747378752e-05,0.14188344776630402,0.14249882102012634,152.3623809814453,128.58712768554688,0.9759942293167114,549.9762573242188,0.9209237694740295,554.3987426757812,0.0,
,17,,,,,,,,15,,,,,,,,,,,,125.52180480957031
0.9718961119651794,18,0.9248874187469482,0.14185504615306854,124.94891357421875,16.0,0.14199353754520416,0.0,550.6647338867188,16,554.084716796875,9.999999747378752e-05,,,,,,,,,,
,18,,,,16.0,,,,16,,9.999999747378752e-05,0.1490154266357422,0.14988434314727783,149.00343322753906,159.89462280273438,0.9848132729530334,546.7095336914062,0.9263930320739746,551.6019287109375,0.0,
,18,,,,,,,,16,,,,,,,,,,,,124.94891357421875
0.9686844348907471,19,0.9196749925613403,0.15090258419513702,129.4027099609375,17.0,0.1492042988538742,0.0,545.6510620117188,17,550.3585815429688,9.999999747378752e-05,,,,,,,,,,
1.2021163702011108,20,1.119773507118225,0.16055431962013245,254.54425048828125,17.0,0.15657100081443787,0.0,555.3652954101562,17,561.5733032226562,9.999999747378752e-05,,,,,,,,,,
,20,,,,17.0,,,,17,,9.999999747378752e-05,0.16103550791740417,0.16593524813652039,157.42117309570312,133.2756805419922,0.9941410422325134,539.375244140625,0.9348422288894653,546.5820922851562,0.0,
,20,,,,,,,,17,,,,,,,,,,,,191.97348022460938
0.9470675587654114,21,0.8983872532844543,0.16450095176696777,128.69398498535156,18.0,0.16121922433376312,0.0,536.7993774414062,18,542.7828979492188,9.999999747378752e-05,,,,,,,,,,
,21,,,,18.0,,,,18,,9.999999747378752e-05,0.16879652440547943,0.17344531416893005,172.8325958251953,147.12405395507812,0.9831642508506775,535.8363647460938,0.9373827576637268,542.0015258789062,0.0,
,21,,,,,,,,18,,,,,,,,,,,,128.69398498535156
0.9420557618141174,22,0.885780394077301,0.17333802580833435,130.6154022216797,19.0,0.16892261803150177,0.0,530.984619140625,19,538.5589599609375,9.999999747378752e-05,,,,,,,,,,
